timestep,edge_mask_0,edge_mask_1,edge_mask_2,edge_mask_3,edge_mask_4,edge_mask_5,edge_mask_6,edge_mask_7,edge_mask_8,edge_mask_9,edge_mask_10,edge_mask_11,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7
10,0.8075959,0.25133586,0.36355537,0.6095592,0.15864299,0.055053458,0.16721967,0.15277341,0.58139116,0.22322118,0.039630618,0.59002113,0.26198402,-0.23811194,-0.008575086,-0.13693483,0.0052063465,0.0083749145,0.31842703,0.28288132,0.36714715,-0.14619677,-0.21926665,0.08274023,-0.37675518,0.019956738,0.010355033,0.32081705,-0.5219528,-0.5205705,-0.3513904,-0.56887937,-0.35379723,0.076296896,0.14377353,-0.056151867,-0.13955395,0.41423535,0.9748383,-0.5665428,0.41245964,0.8662876,-0.9177266,0.646518
11,0.8303533,0.27056393,0.3368599,0.658867,0.15288536,0.05121495,0.16450968,0.1389961,0.6119251,0.17662333,0.030650554,0.5765507,0.26066872,-0.24591537,-0.01763412,-0.06158979,0.0038910508,0.00057148933,0.3518317,0.26845744,0.37317112,-0.16730046,-0.18586197,0.068316355,-0.3728178,0.049196467,0.0604453,0.3269203,-0.51801544,-0.4913308,-0.38337883,-0.5592571,-0.35624173,0.12222303,0.111785084,-0.04652959,-0.11202808,0.41111356,0.97810805,-0.57652885,0.52679026,0.86307496,-0.9089376,0.65000355
12,0.84382087,0.3003744,0.32282686,0.6932709,0.15767297,0.046261616,0.16839907,0.1324372,0.6309115,0.13833,0.02374194,0.54195267,0.25907534,-0.24875842,-0.017739123,-0.016589327,0.0022976696,-0.0022715628,0.38569456,0.2525556,0.37779507,-0.1813804,-0.15199912,0.05241452,-0.36469698,0.078876436,0.10512514,0.331206,-0.5098946,-0.46165085,-0.4153104,-0.5468495,-0.35407206,0.14568189,0.079853505,-0.03412199,-0.04513533,0.2960301,0.9791677,-0.55905056,0.5979116,0.86015713,-0.8689081,0.54014623
13,0.8518523,0.3304321,0.31963047,0.7177397,0.16852371,0.042497717,0.17081487,0.12945925,0.63787186,0.11144541,0.018688368,0.5010442,0.25782496,-0.2490069,-0.011970888,0.004153532,0.0010472834,-0.0025200397,0.41987076,0.23627885,0.38070557,-0.18058911,-0.117822915,0.03613776,-0.35291675,0.10887797,0.1437745,0.33442265,-0.49811438,-0.43164933,-0.44570214,-0.53451055,-0.32949254,0.13280828,0.049461782,-0.021783054,0.0133345565,0.16595528,0.97359335,-0.4455381,0.6493065,0.860182,-0.63938546,0.23546855
14,0.8509766,0.35906395,0.3314853,0.7302252,0.1867188,0.040207706,0.17419419,0.13359793,0.628307,0.09558062,0.015425544,0.45421723,0.25732747,-0.24840902,-0.0023059216,0.007888007,0.00054979324,-0.0019221604,0.45407212,0.22167125,0.3796695,-0.15316513,-0.08362156,0.021530166,-0.33799696,0.13914229,0.17677586,0.33719411,-0.4831946,-0.401385,-0.47007674,-0.5248773,-0.24149704,0.09414956,0.025087178,-0.012149811,0.06672244,0.04772858,0.94140345,-0.17723309,0.68944997,0.86377126,0.056223627,-0.054566678
15,0.8371226,0.39039302,0.37049603,0.7233476,0.2137757,0.03957374,0.1799803,0.14819917,0.5899302,0.096672095,0.014678253,0.39583126,0.25741756,-0.24784565,0.0026545348,0.005445275,0.00063988566,-0.0013587922,0.4866425,0.21083781,0.35300526,-0.10397484,-0.05105117,0.010696724,-0.32037753,0.16965094,0.20526908,0.33988068,-0.46557516,-0.37087634,-0.48599133,-0.518673,-0.14449558,0.056329492,0.009172589,-0.0059455037,0.04383976,-0.0047072903,0.6825315,0.10899023,0.72687197,0.8698503,0.36627185,-0.14282677
16,0.81542677,0.41885492,0.42900893,0.6979583,0.2563326,0.039800957,0.19121034,0.17005531,0.5311901,0.11083138,0.014517968,0.32481244,0.25764823,-0.247512,0.0025173568,0.0028382016,0.00087055564,-0.0010251403,0.51176554,0.20396487,0.242214,-0.062561855,-0.02592814,0.003823787,-0.3003849,0.20037927,0.23057574,0.34219852,-0.44558254,-0.34014803,-0.49459046,-0.51535124,-0.071070425,0.027198367,0.0005734563,-0.0026237369,0.005264558,-0.01245755,-0.22539954,0.15419284,0.7662393,0.87288,0.37301263,-0.15048751
17,0.7868649,0.42078093,0.4892092,0.68106556,0.33189183,0.04444102,0.19429715,0.19851188,0.46634975,0.12463732,0.014623267,0.2473272,0.25764665,-0.2473159,-0.0012848441,0.001849599,0.0008689761,-0.000829041,0.5272596,0.20011188,0.1371263,-0.032935426,-0.010434091,-2.9206276e-05,-0.27834338,0.2312149,0.25207165,0.34282783,-0.423541,-0.3093124,-0.49826673,-0.51405525,-0.02573593,0.008000217,-0.0031028092,-0.0013277531,-0.031728618,-0.002790522,-0.4453424,0.1398596,0.7913983,0.861789,0.27566892,-0.12398555
18,0.75443107,0.4058211,0.54343534,0.66845053,0.40649837,0.051636886,0.1951439,0.2304721,0.4049278,0.1364056,0.015096868,0.18768051,0.2573275,-0.24716192,-0.0046768086,0.0016414357,0.00054982305,-0.0006750673,0.53509164,0.19830236,0.061971396,-0.013690906,-0.0026020408,-0.0018387288,-0.25455248,0.26199597,0.27047905,0.3416039,-0.3997501,-0.2785313,-0.4992463,-0.5139883,-0.0034578594,-0.0028842753,-0.0040823817,-0.001260817,-0.037131753,0.0025423672,-0.40873334,0.11010661,0.8142535,0.8448298,0.15844087,-0.08884439
19,0.71968156,0.3807534,0.59013206,0.6567344,0.47734055,0.05857506,0.19716643,0.2651205,0.35129285,0.14609921,0.015197935,0.14190608,0.25687435,-0.2470296,-0.0052138385,0.0013845721,9.6678734e-05,-0.000542745,0.53806424,0.1976835,0.018557403,-0.0034691198,0.00037056208,-0.002457589,-0.22920014,0.29258507,0.28729963,0.33901703,-0.37439775,-0.24794221,-0.49903703,-0.5145608,0.005216525,-0.008099559,-0.0038731098,-0.0018333197,-0.01706232,0.0015349525,-0.27921146,0.06799059,0.8444034,0.8281415,0.07809919,-0.059363518
20,0.68266165,0.35293812,0.62921554,0.65172535,0.53879505,0.06453434,0.19642286,0.3023523,0.3062501,0.15185183,0.014986035,0.10826687,0.2564887,-0.24692261,-0.0038213085,0.0010908335,-0.00028896332,-0.00043575466,0.5386288,0.19756788,0.00013049738,-0.00019232044,0.0009351373,-0.002573207,-0.20238152,0.32287169,0.30332693,0.33526817,-0.34757915,-0.2176556,-0.49841005,-0.51538974,0.007841271,-0.009765038,-0.0032461286,-0.0026622415,0.0008907018,0.000524044,-0.13787554,0.024095196,0.8785224,0.8100543,0.039288778,-0.036903687
21,0.6500524,0.32599032,0.66296065,0.65300435,0.5908737,0.06932735,0.1924957,0.3354373,0.267712,0.15449995,0.014510313,0.08313591,0.25622973,-0.24683322,-0.002405667,0.0009442867,-0.0005479455,-0.0003463626,0.538401,0.19753149,-0.003861064,-0.00051033305,0.0007073283,-0.0026095957,-0.1741743,0.35275313,0.3184571,0.33039033,-0.31937194,-0.18777415,-0.49768466,-0.5162324,0.008168743,-0.009161236,-0.00252074,-0.0035048723,0.0046031447,0.0012616173,-0.03958937,-0.003660927,0.9096193,0.7893926,0.022877887,-0.018374562
22,0.6206154,0.30178094,0.6929427,0.6562498,0.63166934,0.07304337,0.1883075,0.3654693,0.23401394,0.15544261,0.013915258,0.06654965,0.25607085,-0.24675177,-0.0014453721,0.00088539306,-0.0007068217,-0.00026491284,0.5381563,0.19745821,-0.0021490147,-0.00096616196,0.00046259165,-0.0026828796,-0.14468378,0.38213432,0.33228052,0.3244914,-0.2898814,-0.15839297,-0.4969943,-0.51692176,0.0074222577,-0.006909083,-0.0018303692,-0.0041942596,0.0035887803,0.0017717797,0.0074678315,-0.005834122,0.9343766,0.76698697,0.012957011,-0.00038155538
23,0.5933338,0.27610788,0.7213914,0.65938884,0.6697421,0.07609557,0.184766,0.39335534,0.20251301,0.15584518,0.01331085,0.054150008,0.25598416,-0.24667741,-0.0007225345,0.0007966666,-0.00079351664,-0.00019055605,0.53814155,0.1974318,0.00082898,4.2877946e-05,0.0004478693,-0.0027092844,-0.1140529,0.41090986,0.34437442,0.31734657,-0.25925052,-0.12961742,-0.49641734,-0.5173298,0.0059046424,-0.0033469787,-0.0012534261,-0.004602313,0.0036149463,0.0013262174,0.024407411,0.007674994,0.9516405,0.73978066,0.003379496,0.018348336
24,0.5636544,0.25017834,0.7468174,0.66122115,0.70585364,0.07851865,0.1826846,0.42369175,0.1746639,0.15609424,0.0126538705,0.043968026,0.2559536,-0.24661332,-0.00014735144,0.00067017745,-0.000824064,-0.00012646616,0.53842175,0.19751781,0.0042561935,0.0014118935,0.00072807074,-0.002623275,-0.08244741,0.43890306,0.35457093,0.30788028,-0.22764504,-0.10162422,-0.49601936,-0.51736975,0.0036805994,0.0010081822,-0.00085544586,-0.004642248,0.003945494,0.0007267742,0.03634459,0.01379735,0.96290183,0.6987034,-0.007478828,0.035184164
25,0.5362288,0.22840163,0.76851034,0.6620881,0.73554915,0.080362245,0.18182412,0.45173162,0.1511274,0.1560878,0.012039614,0.0360492,0.25596926,-0.24656144,0.00033410132,0.00052969356,-0.0008084178,-7.458031e-05,0.53901225,0.19767426,0.007713635,0.0019013399,0.001318574,-0.0024668276,-0.050036516,0.46576416,0.36289617,0.2937448,-0.19523415,-0.07476312,-0.49583152,-0.5170362,0.001290316,0.0050551426,-0.0006676018,-0.0043087006,0.0044461493,0.0002706051,0.045214903,0.008424198,0.9696801,0.6283457,-0.014701336,0.04299006
26,0.5117989,0.21001114,0.78650624,0.6636004,0.7604194,0.081761844,0.18038589,0.4767277,0.13173196,0.15601367,0.011473393,0.029569482,0.2560323,-0.24652597,0.00088313443,0.00032625653,-0.0007453859,-3.9115548e-05,0.5398339,0.19786441,0.009836471,0.0022185233,0.002140224,-0.002276674,-0.016981535,0.49076775,0.3694682,0.26985452,-0.16217917,-0.049759537,-0.49582502,-0.5164256,-0.0005370787,0.007648671,-0.0006611049,-0.0036981106,0.0063255853,-0.0007101371,0.040512446,0.007925184,0.9729606,0.49545914,-0.015048157,0.038573135
27,0.48473713,0.1976956,0.80045205,0.665913,0.7777158,0.08280885,0.17787267,0.50441486,0.11673914,0.15621431,0.010848056,0.024588611,0.25614694,-0.24651283,0.0014694674,5.5735854e-05,-0.00063073635,-2.5972724e-05,0.5407211,0.19812287,0.0098672155,0.0031985212,0.0030274391,-0.0020182133,0.016555581,0.5122939,0.37421784,0.22384103,-0.12864205,-0.028233409,-0.49592528,-0.5157014,-0.0014024244,0.008245449,-0.00076135993,-0.0029739141,0.0080711655,-0.0018895656,0.024898613,0.015346287,0.97116613,0.21450156,-0.009996155,0.025089456
