timestep,edge_mask_0,edge_mask_1,edge_mask_2,edge_mask_3,edge_mask_4,edge_mask_5,edge_mask_6,edge_mask_7,edge_mask_8,edge_mask_9,edge_mask_10,edge_mask_11,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7
0,0.5812971,0.02146541,0.046965558,0.845601,0.11392047,0.22725376,0.035099126,0.13413559,0.72578067,0.11929983,0.28456736,0.8646141,0.34434208,0.10378862,-0.0783125,0.07683039,0.4283674,-0.20750436,0.13224714,-0.26470298,-0.04376549,-0.014635123,0.26144922,-0.310972,-0.56685215,-0.43794703,-0.06388603,0.052006427,-0.051434517,-0.3873647,-0.35819128,-0.26185846,0.05535576,0.06252444,-0.76009595,0.11293858,-0.78312504,0.7683039,-0.4376549,-0.14635123,-0.63886034,0.5200643,0.55355763,0.6252444
1,0.51000184,0.023764594,0.05971875,0.7982145,0.12815274,0.29279023,0.039105013,0.13913617,0.64749104,0.16268046,0.35086206,0.84808266,0.33348966,0.11406971,-0.14171755,0.13293613,0.41751498,-0.19722328,0.12688537,-0.2662575,-0.06748003,-0.01859145,0.25608745,-0.31252652,-0.57520753,-0.42980096,-0.10731193,0.10976499,-0.059789896,-0.3792186,-0.3503333,-0.25298098,0.10328877,0.11669603,-0.7522379,0.12181607,-0.82983184,0.7531334,-0.34655908,-0.0761511,-0.59397405,0.7076017,0.61771953,0.69802696
2,0.45115003,0.026282553,0.0772622,0.73864436,0.14070553,0.36617756,0.04279818,0.13731216,0.5565603,0.21855746,0.41153786,0.83301187,0.31769085,0.12840831,-0.19245377,0.17250866,0.40171617,-0.18288466,0.119813316,-0.2675775,-0.08412761,-0.012704417,0.24901539,-0.31384653,-0.5862434,-0.4167255,-0.13027494,0.16304184,-0.070825756,-0.36614314,-0.33894688,-0.2396843,0.1381297,0.16326328,-0.7408515,0.13511275,-0.86165625,0.7280657,-0.33517584,0.012391712,-0.4979099,0.80718124,0.6066313,0.75741255
3,0.39137053,0.030634921,0.09895003,0.6724133,0.1560209,0.4362358,0.04592113,0.13635565,0.46481422,0.2816656,0.47227383,0.81334424,0.2979568,0.145516,-0.23267367,0.19887365,0.38198212,-0.16577698,0.11153753,-0.26786286,-0.0958659,0.0015954785,0.24073961,-0.3141319,-0.5981503,-0.39936906,-0.13331059,0.20775288,-0.08273268,-0.3487867,-0.32535973,-0.22263515,0.15738726,0.20252056,-0.7272644,0.1521619,-0.8833338,0.69492143,-0.32770187,0.11123791,-0.35604376,0.8547152,0.5379,0.80073136
4,0.34462318,0.03674926,0.12400201,0.603061,0.16942698,0.48025036,0.04843943,0.13667145,0.3957476,0.34849957,0.51870537,0.7938238,0.2751163,0.16438077,-0.2643379,0.21497636,0.35914162,-0.1469122,0.102365166,-0.26657072,-0.10493983,0.020737788,0.23156725,-0.31283975,-0.6091041,-0.37852854,-0.115908295,0.24346575,-0.09368646,-0.3279462,-0.31060904,-0.20252603,0.1671508,0.23389167,-0.7125137,0.17227101,-0.89832634,0.658211,-0.330404,0.1954118,-0.15925343,0.8765107,0.49110317,0.8200124
5,0.3030067,0.044698056,0.15198407,0.53437346,0.18429574,0.50552744,0.052282993,0.13889591,0.34248856,0.41334352,0.5580974,0.7710062,0.24983509,0.18424085,-0.2891843,0.223513,0.3338604,-0.12705213,0.09248059,-0.26340547,-0.11227291,0.0423852,0.22168267,-0.3096745,-0.6171883,-0.35495728,-0.0767839,0.271121,-0.10177064,-0.30437493,-0.29530776,-0.1801806,0.1714462,0.255478,-0.6972124,0.19461645,-0.90930843,0.6228078,-0.33568028,0.2683186,0.10147324,0.8852171,0.46083117,0.80059254
6,0.27171192,0.054763857,0.1807637,0.4757254,0.20088126,0.5182237,0.05979216,0.14602797,0.3010126,0.4644824,0.58226013,0.7443549,0.2226348,0.20453727,-0.30874598,0.22651736,0.30666012,-0.1067557,0.081970185,-0.2582534,-0.119036965,0.064675145,0.21117227,-0.30452242,-0.62091106,-0.32928792,-0.02365467,0.29226264,-0.10549343,-0.27870557,-0.2798138,-0.15669386,0.17250948,0.2637068,-0.68171847,0.21810319,-0.9185777,0.5888263,-0.3483229,0.32886246,0.33933255,0.8892189,0.43924832,0.72098315
7,0.24475841,0.06694893,0.20743273,0.42499417,0.21760915,0.5240194,0.06972691,0.15594074,0.26854783,0.50527894,0.59930086,0.71544194,0.19391501,0.22483727,-0.32429045,0.22507425,0.27794033,-0.0864557,0.07087109,-0.25112683,-0.12546642,0.08643841,0.20007318,-0.29739586,-0.61972255,-0.3020012,0.031636216,0.30864704,-0.10430491,-0.25141886,-0.2642142,-0.13325965,0.17373899,0.25871676,-0.66611886,0.24153739,-0.9273101,0.5518626,-0.36188698,0.37932044,0.4937722,0.89450085,0.4435688,0.6093665
8,0.21834691,0.08117295,0.23045745,0.36790237,0.2343905,0.5317843,0.08201273,0.16717775,0.23775825,0.55008495,0.6144753,0.6844365,0.16398084,0.24472521,-0.3367575,0.21892865,0.24800617,-0.06656776,0.059221413,-0.24213248,-0.13142808,0.1066864,0.1884235,-0.2884015,-0.6138383,-0.27343678,0.08225209,0.32175007,-0.09842068,-0.22285444,-0.24830435,-0.11087687,0.1782947,0.24368794,-0.650209,0.2639202,-0.93539685,0.5012294,-0.37328255,0.41857606,0.5852493,0.9026477,0.47990444,0.49650398
9,0.19345006,0.09862184,0.22886452,0.31565973,0.25288126,0.5541187,0.09640177,0.17971566,0.21701679,0.5879385,0.6268342,0.6484969,0.13306072,0.26363257,-0.3469564,0.20565875,0.21708605,-0.04766041,0.04705253,-0.23145375,-0.1371008,0.12463576,0.17625462,-0.27772278,-0.6038596,-0.24382554,0.12518442,0.33264565,-0.08844197,-0.19324319,-0.23134407,-0.08995313,0.19352393,0.2268851,-0.6332487,0.28484392,-0.9438835,0.4146225,-0.38529736,0.4462096,0.6349535,0.91333055,0.59802914,0.4411916
10,0.17169057,0.12224918,0.22102202,0.2876248,0.2769892,0.5780733,0.12030706,0.19130936,0.20090462,0.59206814,0.6370001,0.60076165,0.10131727,0.28069454,-0.35557953,0.18153666,0.18534258,-0.030598432,0.03429458,-0.2193598,-0.14408214,0.13924775,0.16349666,-0.26562884,-0.59056383,-0.21332783,0.15900402,0.34197247,-0.0751462,-0.16274548,-0.2123053,-0.07051655,0.22055064,0.21050037,-0.61420995,0.3042805,-0.953622,0.2729257,-0.41256565,0.45770913,0.65115714,0.92488223,0.7540769,0.40336585
11,0.15088707,0.15024847,0.21402837,0.2680769,0.30537865,0.6063896,0.14949474,0.19857092,0.17958206,0.58242834,0.650542,0.54437286,0.06888971,0.2948483,-0.3626696,0.14512724,0.15291503,-0.016444683,0.020700373,-0.20619895,-0.1545291,0.14972356,0.14990246,-0.252468,-0.57485116,-0.18207583,0.18237396,0.34988046,-0.05943352,-0.13149348,-0.19051266,-0.052644268,0.25293517,0.19262129,-0.5924173,0.3221528,-0.95984876,0.08974722,-0.46467486,0.45287746,0.6312096,0.9340115,0.87522167,0.3474604
12,0.13576399,0.18428516,0.212584,0.25519314,0.33109644,0.6269046,0.18398404,0.20708342,0.1605114,0.5608228,0.6571526,0.48461837,0.03595438,0.30508018,-0.36758748,0.09796728,0.119979694,-0.0062128007,0.0058682947,-0.19227031,-0.16993678,0.1572824,0.13507038,-0.23853934,-0.5578888,-0.15024558,0.19151936,0.35556406,-0.04247117,-0.09966323,-0.16590734,-0.036959115,0.28362107,0.16510855,-0.56781197,0.33783793,-0.9558528,-0.10878132,-0.5403996,0.44989732,0.54738885,0.9315375,0.93919706,0.20642583
13,0.13456613,0.22889253,0.20895422,0.2598461,0.35572672,0.6412273,0.22862992,0.22458063,0.14981845,0.511524,0.6408532,0.41538072,0.0028128945,0.3108902,-0.36856434,0.047849976,0.08683821,-0.0004027784,-0.010538044,-0.17760883,-0.1884706,0.16571651,0.11866404,-0.22387788,-0.54187363,-0.11841059,0.17115973,0.3528013,-0.026455998,-0.06782824,-0.13887924,-0.024713147,0.30865782,0.12154523,-0.5407839,0.3500839,-0.92873794,-0.25625482,-0.61018014,0.47754744,0.27520236,0.8612829,0.95942056,-0.022861643
14,0.14909187,0.28007555,0.19889721,0.2759383,0.38059688,0.6606237,0.2750573,0.24688427,0.14047906,0.44900438,0.6040238,0.33932754,-0.029525314,0.3131203,-0.35468802,0.013243519,0.054500002,0.0018273294,-0.01873741,-0.17522451,-0.016396634,-0.08682992,0.11046468,-0.22149354,-0.52997077,-0.09022549,0.11280148,0.2933511,-0.01455313,-0.039643135,-0.11983453,-0.0038805786,0.13705884,0.330147,-0.5217392,0.37091646,-0.7826479,-0.22643961,-0.6539569,0.54822266,-0.15568314,0.28750175,0.9591749,-0.2695148
15,0.17194952,0.3308119,0.37920064,0.14706172,0.27196148,0.42621475,0.26399055,0.30688843,0.19458461,0.5889477,0.5211621,0.39722657,-0.055936076,0.31428292,-0.2628355,0.0127551425,0.02808924,0.0029899478,-0.022355441,-0.17867564,-0.05668682,-0.0063333726,0.106846645,-0.22494468,-0.5225599,-0.07034898,0.0671137,0.18459961,-0.007142246,-0.019766625,-0.10473113,0.025210649,0.18777849,0.3120101,-0.5066358,0.4000077,0.031805046,0.028225034,-0.5126623,0.70444334,-0.174874,-0.35413742,0.9186124,0.52744615
16,0.1839285,0.32972455,0.4388459,0.16552565,0.34542125,0.40365764,0.23408063,0.31797898,0.1574965,0.6003938,0.49809244,0.32485422,-0.073106304,0.31547204,-0.15475272,0.013440757,0.010919012,0.0041790605,-0.029860439,-0.17488903,-0.09673993,0.06627688,0.099341646,-0.22115806,-0.51852965,-0.058926906,0.033613376,0.098068,-0.003112018,-0.008344553,-0.08499157,0.050845973,0.23510338,0.27125034,-0.48689622,0.42564303,0.4237388,0.038744017,-0.54224825,0.7102691,-0.16721894,-0.40381715,0.9426949,0.37242746
