timestep,,,,,,,,,,,,,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7
0,,,,,,,,,,,,,-0.45955965,0.45566407,0.025056407,0.033190265,-0.74472797,0.8541544,0.07626983,-0.1683758,-0.06252831,-0.09586911,0.17146125,0.28121686,-0.58832,0.18362987,0.06089767,-0.086261645,-0.16902322,0.358909,-0.08509258,0.5322762,0.050290406,-0.025356315,0.3118174,0.97476107,0.25056407,0.33190268,-0.6252831,-0.9586911,0.6089767,-0.8626165,0.50290406,-0.25356314
1,,,,,,,,,,,,,-0.45674857,0.460952,0.03432278,0.07153676,-0.7419169,0.85944235,0.06741409,-0.18136075,-0.1163314,-0.1684813,0.16260552,0.2682319,-0.5799782,0.17179626,0.108581185,-0.1540959,-0.16068143,0.3470754,-0.078092895,0.52838093,0.09151621,-0.0522428,0.31881708,0.9708658,0.15530473,0.46644056,-0.6943517,-0.9657947,0.62907934,-0.8939969,0.537984,-0.3322556
2,,,,,,,,,,,,,-0.4538062,0.469048,0.031878654,0.09916489,-0.7389745,0.86753833,0.054232746,-0.19980563,-0.16152331,-0.2231742,0.14942417,0.24978702,-0.56797814,0.15471555,0.145711,-0.20763056,-0.14868134,0.32999468,-0.06776763,0.52203673,0.12632966,-0.079615265,0.32914236,0.9645216,0.061365694,0.4551232,-0.74274755,-0.9681319,0.642751,-0.920586,0.57692504,-0.40433165
3,,,,,,,,,,,,,-0.4512195,0.47882062,0.0271727,0.11329542,-0.73638785,0.877311,0.03752096,-0.22234714,-0.19776812,-0.26410455,0.1327124,0.22724551,-0.55320555,0.13349187,0.17335461,-0.24991286,-0.13390875,0.308771,-0.054719675,0.5132537,0.15430099,-0.10657601,0.3421903,0.95573854,0.0326371,0.38921753,-0.7662561,-0.96723884,0.6407137,-0.94189954,0.5955373,-0.46864575
4,,,,,,,,,,,,,-0.44915658,0.48909807,0.020796068,0.1146429,-0.73432493,0.8875884,0.018065829,-0.24794891,-0.22536816,-0.29464394,0.11325726,0.20164374,-0.5365374,0.10900683,0.19112487,-0.2831276,-0.11724061,0.28428596,-0.039646514,0.5021766,0.17406885,-0.1313302,0.35726348,0.94466144,0.0041654315,0.29671323,-0.7704208,-0.9656553,0.611089,-0.9569296,0.5834309,-0.51398224
5,,,,,,,,,,,,,-0.4477512,0.4989319,0.013025041,0.10657532,-0.7329195,0.89742225,-0.0033860053,-0.2758431,-0.24484651,-0.31758153,0.09180542,0.17374954,-0.5190515,0.08198607,0.19586906,-0.3087823,-0.09975469,0.2572652,-0.023602918,0.48913583,0.18035877,-0.15167998,0.37330705,0.9316207,-0.025720093,0.20593132,-0.75820386,-0.9659862,0.5252542,-0.9643659,0.4980711,-0.5318233
6,,,,,,,,,,,,,-0.44710854,0.50767416,0.004198515,0.09241762,-0.73227686,0.9061645,-0.026065059,-0.3054688,-0.255561,-0.33497038,0.06912637,0.14412385,-0.502032,0.053018052,0.18572393,-0.32840925,-0.08273518,0.22829719,-0.007861301,0.47458178,0.17218089,-0.1667275,0.3890487,0.91706663,-0.055702653,0.12486121,-0.7192614,-0.9678426,0.3882213,-0.9682252,0.36911812,-0.52967536
7,,,,,,,,,,,,,-0.44723177,0.51499575,-0.004153141,0.07581757,-0.73240006,0.9134861,-0.04889372,-0.33639097,-0.25269717,-0.34788477,0.046297707,0.11320168,-0.4868204,0.022571284,0.1606645,-0.34324154,-0.0675236,0.19785042,0.00660884,0.45891798,0.15507859,-0.17769866,0.40351883,0.90140283,-0.07302027,0.06504363,-0.6102642,-0.96657056,0.21371539,-0.9693463,0.25942913,-0.52653044
8,,,,,,,,,,,,,-0.44795045,0.5208632,-0.009902251,0.05988154,-0.7331188,0.9193535,-0.0693103,-0.36812076,-0.2139277,-0.35488775,0.025881127,0.08147189,-0.47427356,-0.008983014,0.12878184,-0.35428423,-0.05497676,0.16629612,0.019462798,0.44240353,0.13669334,-0.18639186,0.41637278,0.8848884,-0.067873955,0.03018364,-0.24404806,-0.93974113,0.08283462,-0.9685304,0.20384397,-0.53117865
9,,,,,,,,,,,,,-0.44904086,0.52537817,-0.013222281,0.04530976,-0.7342092,0.92386854,-0.083638296,-0.39891553,-0.131836,-0.33580282,0.011553131,0.05067712,-0.46411753,-0.04135093,0.10487656,-0.3623232,-0.044820726,0.13392821,0.030808913,0.4251818,0.120755225,-0.19383349,0.4277189,0.86766666,-0.057955917,0.003986088,0.28609815,-0.6963702,0.082901925,-0.9661009,0.1823523,-0.540396
10,,,,,,,,,,,,,-0.45035896,0.52863526,-0.01535744,0.031627882,-0.7355273,0.9271256,-0.091641635,-0.4237063,-0.06747094,-0.24527833,0.0035497919,0.025886357,-0.45520464,-0.07423624,0.096110106,-0.36692685,-0.035907835,0.101042904,0.040917356,0.40735048,0.10809644,-0.20027159,0.43782735,0.84983534,-0.054407284,-0.023544397,0.31406042,0.065737925,0.17452683,-0.95184463,0.1753002,-0.5489645
11,,,,,,,,,,,,,-0.45182428,0.53069633,-0.016743382,0.018536445,-0.7369926,0.9291867,-0.095488004,-0.43995157,-0.030370649,-0.14811563,-0.0002965778,0.009641081,-0.44675896,-0.10695235,0.09270564,-0.36180514,-0.027462155,0.06832679,0.050061926,0.38896826,0.09836133,-0.20623481,0.4469719,0.8314531,-0.052253027,-0.05184471,0.20232554,0.35843143,0.20623046,-0.8661003,0.17288993,-0.56031096
12,,,,,,,,,,,,,-0.45335492,0.5316317,-0.017139401,0.0063222665,-0.73852324,0.930122,-0.096891604,-0.4487083,-0.008207984,-0.07188784,-0.0017001778,0.0008843541,-0.43963876,-0.13610141,0.072316825,-0.30491513,-0.020341963,0.03917773,0.058497347,0.37004253,0.091409765,-0.21231104,0.45540732,0.8125274,-0.04581865,-0.07580068,0.14570001,0.39198872,0.027876113,-0.3356136,0.17638761,-0.576349
13,,,,,,,,,,,,,-0.45474997,0.5315655,-0.014680586,-0.004264422,-0.7399183,0.93005586,-0.09699484,-0.4522585,0.0023833225,-0.023226101,-0.001803413,-0.0026658475,-0.4348856,-0.15720093,0.043062046,-0.19920067,-0.01558879,0.018078208,0.06653734,0.3505114,0.08829503,-0.21936327,0.46344733,0.7929963,-0.018260356,-0.090061225,0.08539311,0.3068978,-0.111755796,0.29485667,0.19737688,-0.6012998
14,,,,,,,,,,,,,-0.45571432,0.53064924,-0.008732466,-0.013138607,-0.74088264,0.9291396,-0.09665313,-0.45302293,0.0045033908,-0.0011273783,-0.001461707,-0.003430277,-0.43212768,-0.16954322,0.024434067,-0.10610436,-0.012830883,0.005735919,0.07458371,0.3302634,0.08995859,-0.22778511,0.4714937,0.77274823,0.02277971,-0.099402905,0.027158985,0.16292198,-0.07862471,0.43296155,0.2373734,-0.63262653
