timestep,,,,,,,,,,,,,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7
0,,,,,,,,,,,,,0.12930109,-0.009125728,0.088547684,-0.07822029,-0.12747659,0.23736113,0.063553095,0.28690395,0.085904144,0.04254452,-0.47414058,0.08676286,-0.27110112,-0.1854371,-0.06740765,0.04692667,-0.41629875,-0.72596437,-0.0972577,-0.4505428,-0.08580633,-0.08225277,0.3979062,0.06218469,0.8854768,-0.78220296,0.85904145,0.4254452,-0.67407656,0.4692667,-0.8580634,-0.8225277
1,,,,,,,,,,,,,0.14116561,-0.020365503,0.15346819,-0.14821942,-0.11561206,0.22612135,0.075321436,0.29221502,0.15318684,0.06724568,-0.46237224,0.09207393,-0.27993548,-0.17823179,-0.113535754,0.09662489,-0.4251331,-0.71875906,-0.10916661,-0.46165586,-0.15557873,-0.14409089,0.3859973,0.051071644,0.87057406,-0.895542,0.8875874,0.3533729,-0.6298001,0.6142989,-0.9122399,-0.82401305
2,,,,,,,,,,,,,0.15773568,-0.03711566,0.19943352,-0.20505962,-0.099042,0.2093712,0.09226852,0.29890332,0.20585784,0.077848926,-0.44542515,0.09876223,-0.29181486,-0.16668689,-0.14122154,0.14410257,-0.4370125,-0.7072142,-0.126445,-0.47735426,-0.21018377,-0.18959443,0.36871892,0.03537324,0.8433235,-0.93895066,0.90967745,0.27414668,-0.56069726,0.71633923,-0.9349969,-0.8152626
3,,,,,,,,,,,,,0.17745048,-0.058235303,0.22886333,-0.24946426,-0.079327196,0.18825155,0.11325699,0.30574393,0.24687892,0.075086094,-0.4244367,0.105602846,-0.30545068,-0.15126091,-0.15665267,0.18504827,-0.4506483,-0.6917882,-0.14786771,-0.49622628,-0.25195324,-0.2197367,0.3472962,0.016501218,0.7928821,-0.95669556,0.9248559,0.16699408,-0.50736505,0.7697133,-0.94315416,-0.7754086
4,,,,,,,,,,,,,0.19882765,-0.0827378,0.24185461,-0.28364286,-0.05795002,0.16374905,0.13738607,0.31146613,0.2787118,0.057827674,-0.4003076,0.11132504,-0.32001865,-0.132618,-0.16447376,0.21819128,-0.46521628,-0.6731453,-0.17242616,-0.5166155,-0.2833305,-0.22995085,0.32273775,-0.003888011,0.7020711,-0.96544677,0.9355259,0.015131041,-0.46984234,0.794051,-0.9436557,-0.6514835
5,,,,,,,,,,,,,0.22027877,-0.10982517,0.23659119,-0.30963454,-0.036498904,0.13666168,0.16395514,0.3148485,0.30346248,0.027459443,-0.37373853,0.114707425,-0.33484188,-0.11138914,-0.16481787,0.24471875,-0.4800395,-0.65191644,-0.19932,-0.5364603,-0.30656502,-0.21577105,0.2958439,-0.023732781,0.55200243,-0.9690244,0.9442861,-0.15911312,-0.41462523,0.8107527,-0.94067097,-0.4330791
6,,,,,,,,,,,,,0.23952198,-0.13883549,0.20242503,-0.32868797,-0.017255694,0.10765137,0.19242813,0.31504768,0.322819,-0.010410003,-0.34526557,0.114906594,-0.349114,-0.088062935,-0.15545957,0.26641074,-0.49431163,-0.6285902,-0.22792597,-0.553667,-0.3234837,-0.17889301,0.26723796,-0.04093951,0.2498166,-0.9646205,0.95222145,-0.31004587,-0.31846192,0.8287169,-0.9355997,-0.1706476
7,,,,,,,,,,,,,0.25331345,-0.16905093,0.12864539,-0.33924666,-0.003464222,0.077435926,0.22239387,0.31173235,0.33801946,-0.05005049,-0.3152998,0.111591265,-0.36160916,-0.06297435,-0.13052267,0.2849378,-0.5068068,-0.6035016,-0.2577529,-0.5663584,-0.3353737,-0.122077316,0.23741102,-0.05363089,-0.23173428,-0.9273069,0.9590515,-0.42242992,-0.13927998,0.8512975,-0.92760956,0.120924495
8,,,,,,,,,,,,,0.2602929,-0.19873801,0.05200102,-0.32516143,0.0035152137,0.04774885,0.25353724,0.3050091,0.35004625,-0.087029055,-0.28415644,0.10486801,-0.37095463,-0.03640532,-0.09049674,0.30034825,-0.51615226,-0.5769326,-0.28841776,-0.5732433,-0.34339386,-0.053710975,0.20674616,-0.06051582,-0.44483012,-0.70726436,0.96531665,-0.4949119,0.07395251,0.866449,-0.91863567,0.37847012
9,,,,,,,,,,,,,0.26228333,-0.22276153,0.0071737464,-0.23781113,0.0055056512,0.02372533,0.2856117,0.29523483,0.35955107,-0.11938998,-0.252082,0.09509374,-0.3761408,-0.008659816,-0.041187905,0.312251,-0.52133846,-0.5491871,-0.31968158,-0.573923,-0.34936607,0.015526797,0.17548233,-0.061195493,-0.3182702,0.060599256,0.9701642,-0.5411818,0.26684654,0.86989796,-0.9182072,0.55810034
