timestep,,,,,,,,,,,,,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7
0,,,,,,,,,,,,,-0.11224995,0.5683066,-0.0017153012,-0.0014674694,-0.60943794,1.1473429,0.066263095,-0.18524851,-0.08904095,-0.07861961,0.448192,0.09753911,0.47000068,0.3479744,0.042154226,-0.056290373,0.49152866,0.8828058,-0.58309597,0.15445378,-0.003689094,0.044389144,-0.7485937,-0.3503506,-0.017153012,-0.014674694,-0.8904095,-0.7861961,0.42154226,-0.56290376,-0.03689094,0.44389147
1,,,,,,,,,,,,,-0.11234364,0.5683451,-0.00070380385,0.001375794,-0.60953164,1.1473814,0.054133426,-0.1959468,-0.15764065,-0.13899481,0.4360623,0.08684082,0.47588167,0.3399072,0.076939344,-0.10630804,0.49740964,0.8747387,-0.5841202,0.16107635,-0.01522501,0.088181674,-0.74961793,-0.343728,0.00582672,0.024763962,-0.9085994,-0.80030113,0.45323676,-0.6409027,-0.12458188,0.5488982
2,,,,,,,,,,,,,-0.11216561,0.56883115,0.003319087,0.007413281,-0.6093536,1.1478674,0.036784805,-0.21119879,-0.21032347,-0.18470252,0.4187137,0.07158883,0.48455283,0.32769558,0.10604961,-0.1503729,0.5060808,0.862527,-0.58620477,0.17132209,-0.027130019,0.12667166,-0.7517025,-0.33348227,0.0384694,0.06381435,-0.9209298,-0.804564,0.48345092,-0.70641845,-0.1571126,0.60535395
3,,,,,,,,,,,,,-0.11141538,0.5700205,0.010844339,0.016116526,-0.60860336,1.1490568,0.015432101,-0.2298203,-0.2507167,-0.2180073,0.39736098,0.052967325,0.49554262,0.31186646,0.13013846,-0.18863232,0.5170706,0.8466979,-0.58917445,0.18467484,-0.03593017,0.15920994,-0.75467217,-0.3201295,0.08355024,0.10556566,-0.92974114,-0.79480386,0.5060124,-0.7585268,-0.1558266,0.64206195
4,,,,,,,,,,,,,-0.10973669,0.5720679,0.022556035,0.02606485,-0.6069247,1.1511042,-0.008978562,-0.25075662,-0.28148603,-0.23993516,0.37295032,0.032031,0.508408,0.29291502,0.14935334,-0.22154124,0.529936,0.8277465,-0.59275275,0.20066085,-0.041673683,0.18682851,-0.7582505,-0.30414352,0.14422782,0.13977456,-0.93448514,-0.76429725,0.5174951,-0.8006701,-0.14726053,0.6742108
5,,,,,,,,,,,,,-0.10665383,0.57503027,0.04010289,0.036339466,-0.60384184,1.1540666,-0.03570292,-0.2728275,-0.30466294,-0.24788047,0.34622598,0.009960115,0.5226902,0.27128777,0.16335912,-0.24968372,0.5442182,0.8061192,-0.59668946,0.21890053,-0.04477486,0.21058048,-0.7621872,-0.28590384,0.23185866,0.16790828,-0.9354838,-0.6792908,0.51344126,-0.83527774,-0.13519605,0.70459074
6,,,,,,,,,,,,,-0.10163131,0.57887346,0.06365722,0.045883674,-0.5988193,1.1579098,-0.064152926,-0.29451147,-0.32183537,-0.23745936,0.31777596,-0.011723846,0.537903,0.24739803,0.17186841,-0.27332088,0.559431,0.7822295,-0.60073364,0.23909247,-0.045015458,0.231242,-0.76623136,-0.2657119,0.3358005,0.1862907,-0.9333815,-0.51549023,0.49349055,-0.8605809,-0.11434315,0.733066
7,,,,,,,,,,,,,-0.09426146,0.58347774,0.091002285,0.053795796,-0.59144944,1.162514,-0.093865074,-0.3141375,-0.33428466,-0.20837055,0.28806382,-0.031349868,0.5535692,0.22164868,0.17516926,-0.2924955,0.5750972,0.75648016,-0.6045674,0.26099753,-0.0413892,0.24946348,-0.7700651,-0.24380684,0.4325938,0.1938304,-0.9290817,-0.30276066,0.46267936,-0.8750485,-0.07627605,0.7603196
8,,,,,,,,,,,,,-0.084298484,0.5887081,0.12054842,0.060274802,-0.58148646,1.1677444,-0.12447165,-0.32991266,-0.34296733,-0.15873429,0.25745726,-0.04712504,0.56911695,0.19442268,0.17154445,-0.3075193,0.59064496,0.7292541,-0.6078076,0.28438655,-0.033308964,0.26508507,-0.7733053,-0.22041783,0.52296716,0.19927967,-0.92253834,-0.024564134,0.40167475,-0.881477,-0.022670586,0.7798747
9,,,,,,,,,,,,,-0.071632795,0.59445125,0.1508207,0.065582134,-0.5688208,1.1734875,-0.15567538,-0.34009248,-0.34857827,-0.09029632,0.22625351,-0.05730486,0.5836133,0.16603085,0.15583329,-0.3194373,0.6051413,0.7008623,-0.61002934,0.30900654,-0.020377105,0.27779055,-0.77552706,-0.19579783,0.604094,0.20376027,-0.9135273,0.28754413,0.2717498,-0.8879788,0.04604615,0.78976715
