timestep,,,,,,,,,,,,,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7
0,,,,,,,,,,,,,-0.20137827,-0.32075194,-0.09328068,-0.08764669,0.31004208,0.16176295,0.17944522,-0.4324608,0.01641052,0.041640103,0.39430285,-0.7885653,0.5587297,0.5887025,-0.04274327,0.0051984233,0.9692538,0.575409,-0.06415166,0.044139,0.07049651,0.038256586,-0.48870337,0.228866,-0.93280685,-0.876467,0.1641052,0.41640103,-0.42743272,0.051984232,0.7049651,0.3825659
1,,,,,,,,,,,,,-0.21400723,-0.33267722,-0.16384208,-0.15493113,0.29741314,0.14983767,0.18233618,-0.42610538,0.03997739,0.08510381,0.3971938,-0.7822099,0.5527763,0.5895007,-0.07785181,0.010704934,0.96330035,0.5762072,-0.054207306,0.049201816,0.13049103,0.065251976,-0.47875902,0.23392881,-0.9388157,-0.8919612,0.27669504,0.5387373,-0.4579435,0.068061166,0.7761865,0.36559537
2,,,,,,,,,,,,,-0.23195527,-0.34957618,-0.21721299,-0.2041839,0.27946508,0.13293871,0.18749897,-0.41600755,0.06605796,0.12574536,0.40235656,-0.772112,0.54398555,0.5908055,-0.10758571,0.016393714,0.9545096,0.57751197,-0.039580382,0.05654711,0.17853653,0.089795545,-0.4641321,0.2412741,-0.9433142,-0.8798558,0.36074919,0.6191751,-0.49196875,0.08365012,0.8066826,0.40856558
3,,,,,,,,,,,,,-0.253913,-0.36999375,-0.2573556,-0.23820075,0.25750738,0.11252114,0.19495326,-0.4026114,0.09120909,0.16039641,0.40981087,-0.75871587,0.53278446,0.59265447,-0.1328919,0.022620274,0.94330853,0.57936096,-0.021291403,0.06617269,0.2155481,0.115528524,-0.44584313,0.25089967,-0.9444585,-0.85062844,0.41665626,0.6608739,-0.52202606,0.1032499,0.81645703,0.48181844
4,,,,,,,,,,,,,-0.27889982,-0.3927777,-0.28776953,-0.26063228,0.23252055,0.08973718,0.20438081,-0.38664088,0.11152128,0.18597694,0.41923842,-0.74274534,0.5195291,0.59514344,-0.15447643,0.030173277,0.9300532,0.58184993,-0.00031543057,0.077995576,0.24182552,0.13928388,-0.42486715,0.26272258,-0.9475281,-0.81981725,0.4311446,0.6567966,-0.5480753,0.13208075,0.80164444,0.52637494
5,,,,,,,,,,,,,-0.3061994,-0.4169786,-0.31110844,-0.27303207,0.20522097,0.06553629,0.21514727,-0.36904448,0.12368031,0.20028451,0.4300049,-0.7251489,0.50449127,0.59844345,-0.17339191,0.039912883,0.91501534,0.58514994,0.022328686,0.09140689,0.2564892,0.15387991,-0.40222305,0.2761339,-0.9528134,-0.775579,0.40039334,0.6080177,-0.575346,0.17282926,0.7512006,0.49416992
6,,,,,,,,,,,,,-0.3352663,-0.44158322,-0.3288941,-0.2735614,0.17615408,0.04093167,0.2262679,-0.35089722,0.123503864,0.20231202,0.4411255,-0.7070017,0.48781547,0.60280865,-0.19123428,0.052796807,0.8983395,0.58951515,0.045629725,0.10537049,0.2601061,0.15578672,-0.378922,0.29009748,-0.9556283,-0.6878737,0.30743614,0.5209864,-0.61190355,0.22862145,0.677392,0.40376818
7,,,,,,,,,,,,,-0.36564577,-0.46484908,-0.34187752,-0.25098357,0.1457746,0.017665803,0.23635449,-0.33323964,0.10635768,0.19313645,0.4512121,-0.6893441,0.46950114,0.6085409,-0.2096215,0.06913938,0.8800252,0.5952474,0.06879483,0.11880122,0.2560321,0.14595206,-0.35575688,0.30352822,-0.95206887,-0.45812532,0.13729763,0.4140242,-0.661958,0.29541773,0.6095255,0.2911202
8,,,,,,,,,,,,,-0.39687398,-0.4833472,-0.34953177,-0.18281052,0.11454639,-0.00083231926,0.24379545,-0.31694916,0.07083739,0.17494024,0.45865306,-0.6730536,0.44949898,0.6158559,-0.22855894,0.087346606,0.860023,0.60256237,0.091828495,0.13131045,0.25587833,0.13551082,-0.33272323,0.31603745,-0.93123645,0.05427189,-0.08930844,0.30087927,-0.7134284,0.35492074,0.63854265,0.26046753
9,,,,,,,,,,,,,-0.42827713,-0.4941291,-0.34861982,-0.08829197,0.083143234,-0.011614203,0.24705434,-0.3027901,0.018896092,0.14851378,0.46191195,-0.65889454,0.42784527,0.62476206,-0.24661605,0.10476289,0.83836937,0.61146855,0.11548768,0.1434514,0.26638064,0.13459392,-0.30906403,0.3281784,-0.8647095,0.48815894,-0.3423195,0.1730857,-0.75196815,0.3925293,0.7447189,0.32960793
