timestep,,,,,,,,,,,,,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7
0,,,,,,,,,,,,,-0.15606497,0.046354447,-0.09598038,-0.07612574,0.38937628,0.3485837,0.18966718,0.22630598,-0.047740605,0.03156506,0.34030938,0.53912294,0.561146,0.20346425,0.0137530025,0.06860405,0.64788127,-0.36008406,-0.15783115,-0.5852404,-0.07263525,0.018350648,0.32376176,-1.0208936,-0.9598039,-0.7612574,-0.47740608,0.31565058,0.13753003,0.6860405,-0.7263525,0.18350649
1,,,,,,,,,,,,,-0.1690661,0.036147416,-0.16869561,-0.13205437,0.37637517,0.33837667,0.18269762,0.2311835,-0.09228908,0.06550918,0.3333398,0.5440005,0.56276953,0.21317062,0.020182114,0.12747067,0.6495048,-0.3503777,-0.16762821,-0.5827193,-0.12696682,0.032843143,0.31396472,-1.0183724,-0.9671032,-0.7496009,-0.56483626,0.41835395,0.098673634,0.7601763,-0.7249039,0.19080155
2,,,,,,,,,,,,,-0.1875346,0.021956164,-0.22346084,-0.1704937,0.35790667,0.32418543,0.17196758,0.23897476,-0.13268939,0.097100034,0.32260978,0.5517917,0.5645135,0.2275663,0.018975263,0.17619266,0.65124875,-0.33598202,-0.18135263,-0.5790638,-0.16525677,0.044504806,0.30024028,-1.0147169,-0.96939105,-0.71452934,-0.6347258,0.47968158,0.03838677,0.80589676,-0.70031655,0.1987245
3,,,,,,,,,,,,,-0.2101161,0.004988928,-0.2646278,-0.19754043,0.33532518,0.3072182,0.15800337,0.24925733,-0.16639204,0.122826174,0.30864558,0.5620743,0.5656898,0.24575707,0.01011678,0.21508318,0.65242505,-0.31779125,-0.1976313,-0.57452184,-0.18868276,0.0534465,0.28396162,-1.010175,-0.97032213,-0.69670177,-0.66875005,0.5000114,-0.04114665,0.82938707,-0.6474018,0.2006789
4,,,,,,,,,,,,,-0.23578756,-0.014029836,-0.29554373,-0.21820919,0.3096537,0.28819942,0.14169754,0.26132306,-0.18856795,0.13968238,0.29233974,0.5741401,0.56564635,0.26686224,-0.005782713,0.2442115,0.6523816,-0.29668608,-0.21520543,-0.56939095,-0.19856064,0.05879185,0.2663875,-1.0050441,-0.9707289,-0.7005385,-0.6377388,0.47562754,-0.133703,0.8289912,-0.57048607,0.18706977
5,,,,,,,,,,,,,-0.26378354,-0.034756195,-0.31882754,-0.2363347,0.28165773,0.26747307,0.124312,0.27428284,-0.19547509,0.14615512,0.2749542,0.5870998,0.5638644,0.28997812,-0.026808722,0.26315865,0.65059966,-0.2735702,-0.23299901,-0.5640814,-0.19727929,0.059097942,0.24859391,-0.9997345,-0.97169733,-0.7267784,-0.54049134,0.41393343,-0.22471684,0.80000055,-0.4835885,0.15004055
6,,,,,,,,,,,,,-0.2935393,-0.0570769,-0.3365154,-0.25384435,0.25190198,0.24515235,0.106828496,0.28737983,-0.1936542,0.14520526,0.2574707,0.60019684,0.5600373,0.31424776,-0.050381303,0.27291465,0.64677256,-0.24930057,-0.25019565,-0.55910504,-0.18797125,0.053390402,0.23139727,-0.9947581,-0.9739476,-0.76593333,-0.4704789,0.3558893,-0.3027476,0.7554566,-0.40011808,0.09066946
7,,,,,,,,,,,,,-0.32463878,-0.08096888,-0.35006708,-0.2712775,0.22080249,0.22126037,0.08945922,0.30007935,-0.19266091,0.13905668,0.24010143,0.6128963,0.55407715,0.33906224,-0.07414399,0.2771172,0.6408124,-0.22448608,-0.26619667,-0.5549462,-0.17269824,0.042618636,0.21539626,-0.9905993,-0.97680557,-0.808942,-0.47420233,0.30152744,-0.3635802,0.7243122,-0.31719804,0.025758289
8,,,,,,,,,,,,,-0.3567725,-0.10641289,-0.3605287,-0.2884281,0.18866876,0.19581637,0.07181969,0.3118218,-0.19766161,0.12617867,0.2224619,0.6246388,0.5460215,0.36413556,-0.09718898,0.27932993,0.63275677,-0.19941276,-0.28038734,-0.55182457,-0.15016179,0.030717198,0.20120558,-0.98747766,-0.97978395,-0.8496999,-0.5316591,0.21886139,-0.41581,0.71492016,-0.20638081,-0.0124678295
9,,,,,,,,,,,,,-0.38970166,-0.13334507,-0.3685542,-0.30465573,0.1557396,0.16888419,0.05330093,0.32181296,-0.20981519,0.10343045,0.20394313,0.63462996,0.5359165,0.38939855,-0.11982261,0.28138468,0.62265176,-0.17414978,-0.29178447,-0.54941547,-0.11487082,0.024792735,0.18980846,-0.98506856,-0.98157746,-0.8833463,-0.6156896,0.08796467,-0.46930867,0.7188722,-0.022494648,0.017548336
10,,,,,,,,,,,,,-0.423222,-0.16165465,-0.37439495,-0.3194987,0.122219265,0.1405746,0.033530258,0.32948124,-0.22460362,0.07608991,0.18417245,0.6422982,0.5237597,0.41486585,-0.14270207,0.28376332,0.610495,-0.14868248,-0.29894355,-0.546463,-0.061882813,0.036810998,0.18264937,-0.9821161,-0.9797933,-0.910069,-0.6724224,-0.014829141,-0.52835137,0.72724795,0.24270287,0.18216442
11,,,,,,,,,,,,,-0.45712256,-0.19123153,-0.37781203,-0.33319885,0.088318706,0.11099772,0.012465041,0.33477885,-0.23878515,0.0502484,0.16310725,0.6475958,0.509503,0.44054446,-0.16626106,0.28609532,0.59623826,-0.12300387,-0.30041042,-0.54077107,0.006493305,0.0764598,0.1811825,-0.9764242,-0.9701575,-0.9357487,-0.7033242,-0.068190314,-0.59234536,0.7327281,0.52905416,0.4885156
12,,,,,,,,,,,,,-0.49096417,-0.22179785,-0.37512124,-0.34283918,0.054477096,0.0804314,-0.009561008,0.33848792,-0.24770826,0.03669407,0.1410812,0.6513049,0.49308845,0.4663494,-0.19044575,0.2870351,0.5798237,-0.09719893,-0.29568774,-0.5305858,0.075464904,0.131525,0.18590519,-0.966239,-0.91762173,-0.9294006,-0.6861942,-0.009922219,-0.65749943,0.7246364,0.7059493,0.7418014
13,,,,,,,,,,,,,-0.52128357,-0.25146285,-0.31776324,-0.32299727,0.024157703,0.05076641,-0.032133363,0.34130555,-0.25235182,0.028613841,0.11850884,0.65412253,0.47452518,0.4919767,-0.2141649,0.28360498,0.5612604,-0.07157162,-0.28553614,-0.5156942,0.13146107,0.18243119,0.19605678,-0.95134735,-0.36422318,-0.65867865,-0.6657063,0.010932893,-0.7133057,0.6832863,0.74862397,0.8378744
14,,,,,,,,,,,,,-0.5431217,-0.27540234,-0.20508748,-0.23749277,0.0023195744,0.026826918,-0.054811887,0.3435656,-0.25179955,0.023360418,0.095830314,0.65638256,0.45390248,0.5168322,-0.23662958,0.2724557,0.54063773,-0.046716154,-0.2714857,-0.4968861,0.16844378,0.22225294,0.21010724,-0.9325392,0.33234918,0.047551554,-0.6253568,0.019000422,-0.76005936,0.59751976,0.6984798,0.8542955
15,,,,,,,,,,,,,-0.5556596,-0.29144302,-0.106420845,-0.14859828,-0.010218322,0.010786235,-0.07713963,0.34542057,-0.24622934,0.01923595,0.07350257,0.6582376,0.43137193,0.54022163,-0.25719383,0.2535963,0.5181072,-0.023326695,-0.2551583,-0.47516066,0.18790108,0.2509635,0.22643462,-0.9108138,0.47394758,0.29521284,-0.57379675,0.017156322,-0.7972168,0.4925455,0.61568224,0.84273845
16,,,,,,,,,,,,,-0.560767,-0.30059025,-0.031913318,-0.07815453,-0.015325725,0.0016390085,-0.098838516,0.3468455,-0.23853344,0.014131263,0.051803686,0.6596625,0.4071277,0.5616602,-0.27547345,0.2305106,0.49386296,-0.0018881559,-0.23783177,-0.4514152,0.19482517,0.27027512,0.24376115,-0.88706833,0.47902322,0.33294174,-0.53861433,-0.002956974,-0.82578063,0.4031338,0.5389936,0.8205248
