timestep,,,,,,,,,,,,,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7
0,,,,,,,,,,,,,0.021866914,-0.4495781,0.061261185,0.08773138,-0.17758395,-0.57690686,-0.3404903,0.5720377,0.06686641,0.06771312,-0.76659894,0.087711126,-0.16434835,0.18637648,0.09015559,-0.04726079,-0.60093325,0.51057374,-0.47819394,0.27280393,-0.019060524,-0.008439292,-0.9672671,0.11864936,0.61261183,0.8773138,0.6686641,0.6771312,0.90155584,-0.47260794,-0.19060524,-0.08439292
1,,,,,,,,,,,,,0.030238794,-0.437729,0.108900726,0.15361868,-0.16921207,-0.56505775,-0.331259,0.5808576,0.12042168,0.11314117,-0.7573676,0.096531,-0.15214886,0.17962739,0.158247,-0.088854484,-0.58873373,0.50382465,-0.48069584,0.27204788,-0.032168537,-0.008381348,-0.969769,0.11789331,0.62954843,0.8782014,0.70271885,0.6235633,0.90630317,-0.534089,-0.17873147,-0.020518787
2,,,,,,,,,,,,,0.04224153,-0.42097917,0.1455952,0.20235443,-0.15720934,-0.5483079,-0.31780192,0.59286433,0.16407433,0.14354193,-0.74391055,0.10853776,-0.13480262,0.16939963,0.20998056,-0.12603529,-0.5713875,0.4935969,-0.4838908,0.2716129,-0.037165236,-0.0030595283,-0.9729639,0.11745834,0.6391964,0.87140405,0.7375807,0.58686054,0.9129531,-0.5939443,-0.1303883,0.03226482
3,,,,,,,,,,,,,0.0570246,-0.4006725,0.173587,0.23726742,-0.14242627,-0.52800125,-0.30084902,0.606999,0.2005113,0.16380402,-0.7269577,0.12267241,-0.113526,0.15606439,0.2496199,-0.1592364,-0.5501109,0.48026165,-0.48706236,0.27179724,-0.034276437,0.0046021948,-0.9761355,0.11764267,0.643906,0.855016,0.7745553,0.56147575,0.92134494,-0.6470995,-0.06402513,0.06896841
4,,,,,,,,,,,,,0.07390621,-0.37793228,0.19456677,0.26036948,-0.12554465,-0.50526106,-0.28096476,0.62254614,0.23114851,0.17721753,-0.7070734,0.13821957,-0.089228936,0.14000762,0.28014112,-0.18799478,-0.5258138,0.46420488,-0.48956352,0.27263355,-0.024547579,0.011637096,-0.9786367,0.11847898,0.6437652,0.8241892,0.8076501,0.5436454,0.929262,-0.6856748,0.011597505,0.0818545
5,,,,,,,,,,,,,0.09236486,-0.35372618,0.21036083,0.2732504,-0.107086,-0.48105493,-0.25862315,0.6389883,0.25678644,0.18542789,-0.6847318,0.15466174,-0.062632605,0.121648595,0.3032016,-0.21198633,-0.4992175,0.44584584,-0.4908876,0.27400744,-0.009794354,0.017080283,-0.9799608,0.11985287,0.64435726,0.77973306,0.83425057,0.52514756,0.9309573,-0.70990276,0.08616331,0.08352461
6,,,,,,,,,,,,,0.11206635,-0.3288353,0.2231777,0.27822202,-0.087384515,-0.45616406,-0.23424137,0.6558151,0.27797034,0.18773274,-0.66034997,0.17148855,-0.03436864,0.101382375,0.3194653,-0.23177716,-0.47095352,0.42557964,-0.49068892,0.27575877,0.008208759,0.020648967,-0.9797621,0.121604204,0.6540711,0.7328421,0.85380524,0.4866181,0.92064095,-0.7278737,0.15554525,0.078387566
7,,,,,,,,,,,,,0.13289906,-0.3037723,0.235623,0.278606,-0.066551805,-0.43110105,-0.20819369,0.6722459,0.29514262,0.1799803,-0.6343023,0.18791935,-0.0050242534,0.0794331,0.3293405,-0.24993272,-0.44160914,0.40363038,-0.4887706,0.27775368,0.027867338,0.022924008,-0.97784376,0.12359911,0.6823971,0.6993946,0.8666486,0.39180776,0.8974143,-0.7609985,0.21710767,0.07437284
8,,,,,,,,,,,,,0.1549719,-0.27876544,0.2500691,0.27747828,-0.044478968,-0.4060942,-0.18080765,0.6871033,0.30886266,0.1576329,-0.6069163,0.2027767,0.024843711,0.05575937,0.33312917,-0.26959577,-0.41174117,0.37995663,-0.4850623,0.2798991,0.04787181,0.024295133,-0.97413546,0.12574452,0.73351896,0.6852378,0.8750567,0.22647706,0.8612375,-0.8214622,0.269713,0.0710213
9,,,,,,,,,,,,,0.17853977,-0.25369036,0.26776323,0.27917993,-0.020911098,-0.38101912,-0.15234418,0.69926876,0.31995973,0.12394136,-0.5784528,0.21494219,0.054651782,0.030199872,0.33023655,-0.29119372,-0.3819331,0.35439715,-0.4795988,0.28215617,0.06712287,0.025470149,-0.9686719,0.1280016,0.8021142,0.7107122,0.8831272,0.05716679,0.8038969,-0.8899691,0.31219015,0.072487995
10,,,,,,,,,,,,,0.20377792,-0.22796184,0.2867543,0.28921884,0.004327059,-0.3552906,-0.122991435,0.7081558,0.32923266,0.086146526,-0.54910004,0.22382924,0.083753526,0.0027158405,0.3199108,-0.31247035,-0.35283136,0.3269131,-0.472483,0.28451696,0.08503511,0.026611874,-0.9615562,0.13036239,0.8593192,0.79833925,0.8926284,-0.068094954,0.722334,-0.9407506,0.3469296,0.075092666
11,,,,,,,,,,,,,0.2304344,-0.2009099,0.30089748,0.3062564,0.030983537,-0.32823867,-0.09288223,0.7136451,0.33720377,0.04841356,-0.5189909,0.22931853,0.111726545,-0.02649086,0.30626175,-0.3305432,-0.32485834,0.2977064,-0.46383628,0.28696945,0.10159503,0.02756852,-0.95290947,0.13281488,0.8583173,0.89342284,0.9027934,-0.16196342,0.6632869,-0.96190375,0.37818703,0.07609617
12,,,,,,,,,,,,,0.2649847,-0.18152206,0.5200033,0.063780986,0.06553383,-0.30885082,-0.06211836,0.71579295,0.34412938,0.01159095,-0.48822698,0.23146638,0.13108586,-0.047817834,0.07491074,-0.083956465,-0.30549902,0.27637944,-0.453772,0.28947458,0.11694014,0.027968245,-0.94284517,0.13532001,0.7112864,0.9419501,0.9122661,-0.24719223,0.6841607,-0.96155393,0.40743873,0.07291854
13,,,,,,,,,,,,,0.31592304,-0.18105838,0.5292412,0.03488105,0.11647217,-0.30838713,-0.030778369,0.7145847,0.35026848,-0.02593269,-0.456887,0.23025814,0.12769441,-0.04983097,-0.034249365,-0.050617762,-0.30889046,0.2743663,-0.4427014,0.29233798,0.12604028,0.033739477,-0.93177456,0.13818341,0.3630265,0.88033843,0.921714,-0.34625903,0.12503713,-0.88638943,0.3833519,0.12763296
14,,,,,,,,,,,,,0.35519424,-0.173433,0.38989934,0.1096489,0.15574338,-0.30076176,0.0010860404,0.7100173,0.35593927,-0.063156486,-0.4250226,0.22569075,0.12672919,-0.058912657,0.0010382002,-0.12605259,-0.3098557,0.2652846,-0.43117106,0.296102,0.12915187,0.045863703,-0.9202442,0.14194742,-0.070315495,0.8348811,0.9323797,-0.43706974,0.26725227,-0.8808928,0.34621665,0.20559096
15,,,,,,,,,,,,,0.3838799,-0.16001229,0.28314495,0.16885407,0.18442903,-0.28734106,0.03341499,0.7022027,0.36084622,-0.09866636,-0.39269364,0.2178761,0.12969795,-0.073767714,0.048960343,-0.18455796,-0.30688694,0.25042954,-0.41934073,0.30117434,0.13259661,0.061607186,-0.9084139,0.14701977,-0.09279616,0.86617386,0.9389175,-0.5129899,0.4818169,-0.9001852,0.35732707,0.272094
16,,,,,,,,,,,,,0.40478522,-0.14204775,0.20684946,0.21498187,0.20533435,-0.26937652,0.06615668,0.6912687,0.36527178,-0.13290055,-0.35995194,0.20694211,0.13722132,-0.09302099,0.10090948,-0.22860894,-0.29936355,0.23117627,-0.40711585,0.30773294,0.13744959,0.07850602,-0.896189,0.15357837,-0.05509263,0.88341284,0.94637126,-0.58900785,0.64189225,-0.90190506,0.3800214,0.32300633
17,,,,,,,,,,,,,0.42027128,-0.12058881,0.1546765,0.2501579,0.22082041,-0.24791756,0.09927719,0.6773274,0.36937267,-0.16590469,-0.32683143,0.19300082,0.14940713,-0.115584634,0.15264213,-0.26175624,-0.28717774,0.20861262,-0.39436403,0.31578967,0.14380491,0.09502616,-0.88343716,0.1616351,-0.0046056034,0.88921475,0.9541883,-0.66229284,0.76960015,-0.9029955,0.40717706,0.3614666
18,,,,,,,,,,,,,0.43202284,-0.096481934,0.11852064,0.27670234,0.23257197,-0.22381069,0.132751,0.6605484,0.37321055,-0.19669817,-0.2933576,0.17622182,0.1659961,-0.14062361,0.20016178,-0.2864384,-0.2705888,0.18357365,-0.38097718,0.32528007,0.15121143,0.1106605,-0.8700503,0.1711255,0.025132712,0.89083916,0.9618108,-0.72269636,0.8568019,-0.90121233,0.43357727,0.39390883
19,,,,,,,,,,,,,0.4412414,-0.07037321,0.0943823,0.2967942,0.24179055,-0.19770196,0.16655153,0.6411949,0.37673685,-0.22420925,-0.2595571,0.15686831,0.18638892,-0.1674513,0.2397995,-0.30390885,-0.25019598,0.15674596,-0.36688054,0.33608264,0.15933834,0.12471208,-0.8559537,0.18192807,0.05491813,0.89267427,0.9682901,-0.7668559,0.8967818,-0.89080095,0.45929763,0.41716716
20,,,,,,,,,,,,,0.44886866,-0.042759456,0.079929486,0.31183213,0.2494178,-0.1700882,0.20064637,0.61961025,0.37987897,-0.2476407,-0.22546226,0.13528368,0.2098882,-0.19544686,0.27175507,-0.31463775,-0.22669668,0.1287504,-0.35201737,0.3480373,0.1680501,0.13688847,-0.84109056,0.19388273,0.09142761,0.8923644,0.9732634,-0.79483783,0.9190545,-0.8670609,0.48546344,0.43354425
21,,,,,,,,,,,,,0.45506412,-0.014291695,0.063293256,0.31854665,0.25561327,-0.14162044,0.23500018,0.5961953,0.38262358,-0.26642993,-0.19110845,0.11186871,0.23588857,-0.22396272,0.29746205,-0.31794557,-0.20069632,0.10023454,-0.33632332,0.36095035,0.17754254,0.14677292,-0.8253965,0.20679578,0.03346144,0.84672576,0.9771438,-0.8069941,0.93645793,-0.8196732,0.5150499,0.44106573
22,,,,,,,,,,,,,0.45843506,0.013902836,0.024536684,0.31063554,0.2589842,-0.11342592,0.26957464,0.5714496,0.38492927,-0.27921322,-0.15653399,0.08712301,0.26389316,-0.25208995,0.31801203,-0.30981383,-0.17269173,0.072107315,-0.31970215,0.3745739,0.18824857,0.153672,-0.8087753,0.22041932,-0.22933266,0.7172553,0.9796159,-0.7939075,0.94915503,-0.7135459,0.5509166,0.43592325
