timestep,edge_mask_0,edge_mask_1,edge_mask_2,edge_mask_3,edge_mask_4,edge_mask_5,edge_mask_6,edge_mask_7,edge_mask_8,edge_mask_9,edge_mask_10,edge_mask_11,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7
0,0.12640236,0.25707954,0.4229078,0.096048504,0.26533002,0.07561289,0.2635639,0.7422503,0.50147927,0.64038754,0.13134725,0.4775905,0.07166125,-0.45236367,0.091380894,0.0024612243,-0.5215312,0.081632376,-0.414387,0.30968747,0.0853547,0.043853763,-0.58243585,-0.07678604,-0.5075317,-0.22903724,-0.057515763,0.05586062,-0.9293033,-0.119658574,-0.34829378,-0.59808064,0.022630267,-0.019854244,-0.8019182,-0.8684165,0.91380894,0.024612242,0.853547,0.43853763,-0.57515764,0.5586062,0.22630268,-0.19854245
1,0.1089186,0.2262288,0.4329326,0.108681045,0.30029577,0.07916312,0.23490751,0.76776344,0.4879043,0.65641147,0.12331792,0.47347546,0.08406911,-0.45198792,0.16110735,0.005031951,-0.5091233,0.08200812,-0.40260333,0.3153216,0.15371741,0.07197614,-0.5706522,-0.07115191,-0.51522505,-0.2214827,-0.09946447,0.09797852,-0.93699664,-0.11210403,-0.34498322,-0.60077417,0.043860707,-0.0349644,-0.79860765,-0.87111,0.9257166,0.031860325,0.89701384,0.39085823,-0.5632764,0.5608306,0.26888004,-0.20073718
2,0.1066923,0.19651818,0.4443282,0.118497804,0.3375137,0.08260382,0.20949845,0.7701732,0.47306797,0.67200375,0.123134546,0.46596813,0.101756774,-0.45137525,0.21424082,0.007695148,-0.49143568,0.0826208,-0.3855967,0.32325754,0.20658547,0.096277446,-0.55364555,-0.06321597,-0.5256743,-0.21079253,-0.124420494,0.1291804,-0.94744587,-0.10141386,-0.33992413,-0.60451937,0.062387835,-0.044937167,-0.7935486,-0.8748552,0.9341032,0.039211843,0.9129738,0.42295334,-0.4982215,0.55696523,0.2949231,-0.18713869
3,0.11767742,0.17261454,0.45260125,0.12714234,0.37106413,0.085544355,0.1877874,0.75010145,0.4618544,0.6850703,0.13222113,0.45632133,0.123463385,-0.45054555,0.2546565,0.00998127,-0.46972907,0.083450496,-0.36457723,0.33326703,0.24703148,0.118686,-0.5326261,-0.053206474,-0.5374036,-0.19778647,-0.13327911,0.1521776,-0.95917517,-0.0884078,-0.33336383,-0.6088826,0.078144334,-0.05025315,-0.78698826,-0.87921846,0.9397589,0.042099096,0.92092365,0.4647792,-0.39963758,0.55292296,0.31353453,-0.16550277
4,0.12765746,0.15327437,0.45631072,0.13449967,0.40114576,0.0878959,0.16902855,0.732849,0.45579344,0.6964718,0.13949357,0.4455798,0.14822292,-0.44957262,0.28533062,0.011224598,-0.44496953,0.08442342,-0.3404877,0.34512526,0.27797726,0.13829416,-0.5085365,-0.04134825,-0.5491065,-0.1830622,-0.1284087,0.16931549,-0.97087806,-0.07368353,-0.3255227,-0.6134977,0.091614544,-0.05179193,-0.77914715,-0.8838335,0.9433826,0.03738645,0.9270364,0.4927967,-0.28449368,0.5518231,0.33006287,-0.14102073
5,0.13708411,0.13802575,0.4605756,0.13902599,0.42617318,0.089702554,0.15155764,0.7172331,0.44972184,0.7094164,0.1456828,0.435801,0.17529772,-0.44861236,0.3085813,0.010392708,-0.41789472,0.08538368,-0.31404558,0.35846245,0.3017131,0.1531395,-0.4820944,-0.028011054,-0.55973464,-0.16704851,-0.11293164,0.18223655,-0.9815062,-0.05766985,-0.31662118,-0.6180394,0.10255193,-0.049799614,-0.7702456,-0.8883753,0.9458333,0.01974261,0.9323016,0.4941889,-0.16625097,0.5524993,0.3384102,-0.109556675
6,0.1458067,0.1268632,0.4634546,0.14153185,0.44279435,0.09216415,0.13650621,0.70464796,0.4443812,0.721962,0.14954531,0.43034247,0.20412807,-0.44792846,0.32621524,0.0062022675,-0.38906437,0.08606759,-0.28579476,0.37270856,0.31999075,0.1608654,-0.4538436,-0.013764948,-0.56854594,-0.15007843,-0.09038866,0.19171634,-0.9903175,-0.040699765,-0.30687997,-0.6222173,0.1110778,-0.04473087,-0.76050436,-0.89255315,0.9477925,-0.015922626,0.937059,0.46010783,-0.056899305,0.5503891,0.34163868,-0.07381159
7,0.15323026,0.119415656,0.46344104,0.14339644,0.4499212,0.09487209,0.12509532,0.6933446,0.44168693,0.73150826,0.15342511,0.4306631,0.23429385,-0.44787124,0.33965543,-0.00214758,-0.3588986,0.08612481,-0.25614634,0.3870674,0.3341453,0.15888126,-0.42419517,0.0005939007,-0.57509923,-0.13246845,-0.064027056,0.19764155,-0.9968708,-0.023089781,-0.2964897,-0.62579894,0.117633216,-0.037327923,-0.7501141,-0.8961348,0.94994044,-0.06799281,0.94152296,0.38232225,0.037644546,0.538543,0.34324872,-0.037797783
8,0.15896618,0.11217713,0.46210024,0.14582224,0.45792094,0.09757884,0.11541337,0.68322307,0.44032094,0.7387644,0.15781073,0.42990187,0.2654842,-0.44880632,0.35001215,-0.01451149,-0.32770824,0.08518973,-0.22540888,0.40058395,0.34521854,0.14583491,-0.3934577,0.014110446,-0.5792138,-0.11460523,-0.036563255,0.19889928,-1.0009854,-0.0052265674,-0.28561637,-0.628605,0.12240557,-0.028103668,-0.73924077,-0.89894086,0.95270616,-0.12900805,0.94609565,0.26673946,0.114570305,0.50668156,0.3418064,-0.0010772231
9,0.16378729,0.10446914,0.4576884,0.15479855,0.4684359,0.10059801,0.106671594,0.6765567,0.4417136,0.73852986,0.15965594,0.4270949,0.29747015,-0.4510172,0.35809335,-0.029591814,-0.2957223,0.082978845,-0.19381103,0.41233814,0.35402146,0.122985594,-0.36185986,0.025864631,-0.580905,-0.09697536,-0.009905456,0.19438168,-1.0026766,0.012403309,-0.27438822,-0.6305136,0.12593305,-0.01775783,-0.7280127,-0.90084946,0.9558418,-0.18708198,0.9510755,0.13609435,0.17516984,0.45207235,0.34128883,0.03319921
