timestep,edge_mask_0,edge_mask_1,edge_mask_2,edge_mask_3,edge_mask_4,edge_mask_5,edge_mask_6,edge_mask_7,edge_mask_8,edge_mask_9,edge_mask_10,edge_mask_11,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7
0,0.6398059,0.12811954,0.64484423,0.4737298,0.19863151,0.29087433,0.014097749,0.028307201,0.0642814,0.5121725,0.3318869,0.67324895,-0.20137827,-0.32075194,-0.09328068,-0.08764669,0.31004208,0.16176295,0.17944522,-0.4324608,0.01641052,0.041640103,0.39430285,-0.7885653,0.5587297,0.5887025,-0.04274327,0.0051984233,0.9692538,0.575409,-0.06415166,0.044139,0.07049651,0.038256586,-0.48870337,0.228866,-0.93280685,-0.876467,0.1641052,0.41640103,-0.42743272,0.051984232,0.7049651,0.3825659
1,0.5913577,0.09192873,0.5550924,0.5245768,0.18684925,0.35293472,0.014177769,0.03331378,0.09197288,0.46124545,0.37532848,0.721222,-0.21400723,-0.33267722,-0.16384208,-0.15493113,0.29741314,0.14983767,0.18233618,-0.42610538,0.03997739,0.08510381,0.3971938,-0.7822099,0.5527763,0.5895007,-0.07785181,0.010704934,0.96330035,0.5762072,-0.054207306,0.049201816,0.13049103,0.065251976,-0.47875902,0.23392881,-0.9388157,-0.8919612,0.27669504,0.5387373,-0.4579435,0.068061166,0.7761865,0.36559537
2,0.53288484,0.064607,0.44844276,0.5655087,0.17515981,0.42101955,0.014045147,0.040013574,0.13053766,0.4204461,0.42710155,0.7602332,-0.23195527,-0.34957618,-0.21721299,-0.2041839,0.27946508,0.13293871,0.18749897,-0.41600755,0.06605796,0.12574536,0.40235656,-0.772112,0.54398555,0.5908055,-0.10758571,0.016393714,0.9545096,0.57751197,-0.039580382,0.05654711,0.17853653,0.089795545,-0.4641321,0.2412741,-0.9433142,-0.8798558,0.36074919,0.6191751,-0.49196875,0.08365012,0.8066826,0.40856558
3,0.46837845,0.04465824,0.3396188,0.5840555,0.16361506,0.4814796,0.015002503,0.048298847,0.17890155,0.400942,0.48332265,0.7917267,-0.253913,-0.36999375,-0.2573556,-0.23820075,0.25750738,0.11252114,0.19495326,-0.4026114,0.09120909,0.16039641,0.40981087,-0.75871587,0.53278446,0.59265447,-0.1328919,0.022620274,0.94330853,0.57936096,-0.021291403,0.06617269,0.2155481,0.115528524,-0.44584313,0.25089967,-0.9444585,-0.85062844,0.41665626,0.6608739,-0.52202606,0.1032499,0.81645703,0.48181844
4,0.39251092,0.030531827,0.23894982,0.5953967,0.15162663,0.52725613,0.016662218,0.057130717,0.23379405,0.38794112,0.55035836,0.81784153,-0.27889982,-0.3927777,-0.28776953,-0.26063228,0.23252055,0.08973718,0.20438081,-0.38664088,0.11152128,0.18597694,0.41923842,-0.74274534,0.5195291,0.59514344,-0.15447643,0.030173277,0.9300532,0.58184993,-0.00031543057,0.077995576,0.24182552,0.13928388,-0.42486715,0.26272258,-0.9475281,-0.81981725,0.4311446,0.6567966,-0.5480753,0.13208075,0.80164444,0.52637494
5,0.31594458,0.021199211,0.16193806,0.6129521,0.14135174,0.5495522,0.01904609,0.06521259,0.2885097,0.36800173,0.61884284,0.837449,-0.3061994,-0.4169786,-0.31110844,-0.27303207,0.20522097,0.06553629,0.21514727,-0.36904448,0.12368031,0.20028451,0.4300049,-0.7251489,0.50449127,0.59844345,-0.17339191,0.039912883,0.91501534,0.58514994,0.022328686,0.09140689,0.2564892,0.15387991,-0.40222305,0.2761339,-0.9528134,-0.775579,0.40039334,0.6080177,-0.575346,0.17282926,0.7512006,0.49416992
6,0.2495078,0.015094062,0.1104052,0.61887467,0.13243769,0.55051595,0.022301057,0.071736954,0.33907878,0.35882428,0.6787552,0.85246825,-0.3352663,-0.44158322,-0.3288941,-0.2735614,0.17615408,0.04093167,0.2262679,-0.35089722,0.123503864,0.20231202,0.4411255,-0.7070017,0.48781547,0.60280865,-0.19123428,0.052796807,0.8983395,0.58951515,0.045629725,0.10537049,0.2601061,0.15578672,-0.378922,0.29009748,-0.9556283,-0.6878737,0.30743614,0.5209864,-0.61190355,0.22862145,0.677392,0.40376818
7,0.19626945,0.01129983,0.07623523,0.61891025,0.12590714,0.544879,0.025821285,0.07532245,0.3788857,0.3552685,0.72840804,0.862793,-0.36564577,-0.46484908,-0.34187752,-0.25098357,0.1457746,0.017665803,0.23635449,-0.33323964,0.10635768,0.19313645,0.4512121,-0.6893441,0.46950114,0.6085409,-0.2096215,0.06913938,0.8800252,0.5952474,0.06879483,0.11880122,0.2560321,0.14595206,-0.35575688,0.30352822,-0.95206887,-0.45812532,0.13729763,0.4140242,-0.661958,0.29541773,0.6095255,0.2911202
8,0.15721439,0.00906104,0.056209188,0.62468773,0.12102098,0.55385756,0.029604027,0.075165786,0.38993323,0.34570825,0.76761985,0.869918,-0.39687398,-0.4833472,-0.34953177,-0.18281052,0.11454639,-0.00083231926,0.24379545,-0.31694916,0.07083739,0.17494024,0.45865306,-0.6730536,0.44949898,0.6158559,-0.22855894,0.087346606,0.860023,0.60256237,0.091828495,0.13131045,0.25587833,0.13551082,-0.33272323,0.31603745,-0.93123645,0.05427189,-0.08930844,0.30087927,-0.7134284,0.35492074,0.63854265,0.26046753
9,0.13055953,0.007855616,0.044958934,0.63129723,0.113298036,0.5663615,0.034349043,0.07152801,0.3886796,0.33435377,0.7979124,0.87884635,-0.42827713,-0.4941291,-0.34861982,-0.08829197,0.083143234,-0.011614203,0.24705434,-0.3027901,0.018896092,0.14851378,0.46191195,-0.65889454,0.42784527,0.62476206,-0.24661605,0.10476289,0.83836937,0.61146855,0.11548768,0.1434514,0.26638064,0.13459392,-0.30906403,0.3281784,-0.8647095,0.48815894,-0.3423195,0.1730857,-0.75196815,0.3925293,0.7447189,0.32960793
10,0.116104715,0.007468473,0.03750757,0.64820933,0.10510462,0.5545582,0.040215418,0.06624277,0.4079342,0.3115752,0.8176525,0.8874269,-0.45821923,-0.4971732,-0.3247249,-0.0065889973,0.05320114,-0.014658302,0.24527347,-0.29139534,-0.03912927,0.11565567,0.46013108,-0.6474998,0.4046948,0.6350149,-0.26253316,0.118499234,0.81521887,0.6217214,0.14046499,0.1554195,0.28309816,0.13217157,-0.28408673,0.34014648,-0.63260055,0.5962999,-0.5330134,0.04270355,-0.77571106,0.39927053,0.83312714,0.3122612
11,0.11571125,0.008148892,0.032459192,0.68350965,0.102250926,0.54062325,0.046025738,0.062134556,0.42691755,0.27046457,0.82215416,0.8896002,-0.48242632,-0.49501452,-0.24108909,0.03927221,0.028994054,-0.01249963,0.2385823,-0.28301725,-0.09195485,0.08180682,0.4534399,-0.6391217,0.3803164,0.64596343,-0.27503997,0.12322589,0.7908405,0.6326699,0.16708718,0.16620971,0.302154,0.113750964,-0.25746453,0.3509367,0.024546057,0.44213957,-0.62607896,-0.049349286,-0.78140116,0.34351456,0.89830387,0.1462229
12,0.13864283,0.009653892,0.032364316,0.72803646,0.10053553,0.5452537,0.048410624,0.06293364,0.42238197,0.2235529,0.7984235,0.88981056,-0.49836242,-0.49102667,-0.14505716,0.046827964,0.013057947,-0.008511782,0.22771561,-0.27742466,-0.13513407,0.05230607,0.44257322,-0.6335291,0.3550346,0.6563371,-0.2838437,0.11128052,0.76555866,0.6430436,0.19540441,0.17416692,0.32087684,0.07574463,-0.22914732,0.35889393,0.35759643,0.17373812,-0.66167957,-0.090490475,-0.77563715,0.18861103,0.9426136,-0.09568603
