timestep,edge_mask_0,edge_mask_1,edge_mask_2,edge_mask_3,edge_mask_4,edge_mask_5,edge_mask_6,edge_mask_7,edge_mask_8,edge_mask_9,edge_mask_10,edge_mask_11,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7
0,0.25096685,0.48206535,0.5327425,0.23256034,0.46899232,0.4039366,0.47775644,0.43673012,0.06332087,0.28968328,0.312303,0.048942298,-0.11224995,0.5683066,-0.0017153012,-0.0014674694,-0.60943794,1.1473429,0.066263095,-0.18524851,-0.08904095,-0.07861961,0.448192,0.09753911,0.47000068,0.3479744,0.042154226,-0.056290373,0.49152866,0.8828058,-0.58309597,0.15445378,-0.003689094,0.044389144,-0.7485937,-0.3503506,-0.017153012,-0.014674694,-0.8904095,-0.7861961,0.42154226,-0.56290376,-0.03689094,0.44389147
1,0.25742942,0.4957805,0.51956254,0.22921537,0.4484255,0.4233441,0.4611717,0.3860852,0.05709337,0.30961302,0.35648534,0.055793915,-0.11234364,0.5683451,-0.00070380385,0.001375794,-0.60953164,1.1473814,0.054133426,-0.1959468,-0.15764065,-0.13899481,0.4360623,0.08684082,0.47588167,0.3399072,0.076939344,-0.10630804,0.49740964,0.8747387,-0.5841202,0.16107635,-0.01522501,0.088181674,-0.74961793,-0.343728,0.00582672,0.024763962,-0.9085994,-0.80030113,0.45323676,-0.6409027,-0.12458188,0.5488982
2,0.26312113,0.5091253,0.51245695,0.22548763,0.4283472,0.4355074,0.44538432,0.3442075,0.052035745,0.32912803,0.39267138,0.062527515,-0.11216561,0.56883115,0.003319087,0.007413281,-0.6093536,1.1478674,0.036784805,-0.21119879,-0.21032347,-0.18470252,0.4187137,0.07158883,0.48455283,0.32769558,0.10604961,-0.1503729,0.5060808,0.862527,-0.58620477,0.17132209,-0.027130019,0.12667166,-0.7517025,-0.33348227,0.0384694,0.06381435,-0.9209298,-0.804564,0.48345092,-0.70641845,-0.1571126,0.60535395
3,0.27948666,0.5196138,0.5270007,0.21289419,0.4114842,0.42286688,0.43445292,0.3113047,0.05013244,0.35265297,0.40920866,0.068901956,-0.11141538,0.5700205,0.010844339,0.016116526,-0.60860336,1.1490568,0.015432101,-0.2298203,-0.2507167,-0.2180073,0.39736098,0.052967325,0.49554262,0.31186646,0.13013846,-0.18863232,0.5170706,0.8466979,-0.58917445,0.18467484,-0.03593017,0.15920994,-0.75467217,-0.3201295,0.08355024,0.10556566,-0.92974114,-0.79480386,0.5060124,-0.7585268,-0.1558266,0.64206195
4,0.2805095,0.52466255,0.552858,0.19969074,0.40001756,0.39735213,0.4236989,0.2848516,0.04978989,0.3766103,0.43463895,0.075319864,-0.10973669,0.5720679,0.022556035,0.02606485,-0.6069247,1.1511042,-0.008978562,-0.25075662,-0.28148603,-0.23993516,0.37295032,0.032031,0.508408,0.29291502,0.14935334,-0.22154124,0.529936,0.8277465,-0.59275275,0.20066085,-0.041673683,0.18682851,-0.7582505,-0.30414352,0.14422782,0.13977456,-0.93448514,-0.76429725,0.5174951,-0.8006701,-0.14726053,0.6742108
5,0.2662168,0.54071796,0.581595,0.1888095,0.3781902,0.36978927,0.40847716,0.26399016,0.04861565,0.40271336,0.46979296,0.081091814,-0.10665383,0.57503027,0.04010289,0.036339466,-0.60384184,1.1540666,-0.03570292,-0.2728275,-0.30466294,-0.24788047,0.34622598,0.009960115,0.5226902,0.27128777,0.16335912,-0.24968372,0.5442182,0.8061192,-0.59668946,0.21890053,-0.04477486,0.21058048,-0.7621872,-0.28590384,0.23185866,0.16790828,-0.9354838,-0.6792908,0.51344126,-0.83527774,-0.13519605,0.70459074
6,0.25322902,0.5568606,0.6068259,0.1814011,0.35697824,0.34664026,0.3906787,0.24624838,0.04653382,0.42792025,0.50052255,0.08616116,-0.10163131,0.57887346,0.06365722,0.045883674,-0.5988193,1.1579098,-0.064152926,-0.29451147,-0.32183537,-0.23745936,0.31777596,-0.011723846,0.537903,0.24739803,0.17186841,-0.27332088,0.559431,0.7822295,-0.60073364,0.23909247,-0.045015458,0.231242,-0.76623136,-0.2657119,0.3358005,0.1862907,-0.9333815,-0.51549023,0.49349055,-0.8605809,-0.11434315,0.733066
7,0.2422879,0.57459867,0.6204889,0.17801955,0.34027877,0.33532932,0.37534112,0.2304053,0.044181757,0.44663942,0.5273068,0.0851226,-0.09426146,0.58347774,0.091002285,0.053795796,-0.59144944,1.162514,-0.093865074,-0.3141375,-0.33428466,-0.20837055,0.28806382,-0.031349868,0.5535692,0.22164868,0.17516926,-0.2924955,0.5750972,0.75648016,-0.6045674,0.26099753,-0.0413892,0.24946348,-0.7700651,-0.24380684,0.4325938,0.1938304,-0.9290817,-0.30276066,0.46267936,-0.8750485,-0.07627605,0.7603196
8,0.23353481,0.5962612,0.62676954,0.17405078,0.3199736,0.3326579,0.36442053,0.21656024,0.040572524,0.46152863,0.54990494,0.083765194,-0.084298484,0.5887081,0.12054842,0.060274802,-0.58148646,1.1677444,-0.12447165,-0.32991266,-0.34296733,-0.15873429,0.25745726,-0.04712504,0.56911695,0.19442268,0.17154445,-0.3075193,0.59064496,0.7292541,-0.6078076,0.28438655,-0.033308964,0.26508507,-0.7733053,-0.22041783,0.52296716,0.19927967,-0.92253834,-0.024564134,0.40167475,-0.881477,-0.022670586,0.7798747
9,0.22532915,0.62309027,0.62524736,0.16940719,0.29406258,0.337483,0.35853043,0.20041752,0.03726963,0.47206238,0.5742534,0.0828472,-0.071632795,0.59445125,0.1508207,0.065582134,-0.5688208,1.1734875,-0.15567538,-0.34009248,-0.34857827,-0.09029632,0.22625351,-0.05730486,0.5836133,0.16603085,0.15583329,-0.3194373,0.6051413,0.7008623,-0.61002934,0.30900654,-0.020377105,0.27779055,-0.77552706,-0.19579783,0.604094,0.20376027,-0.9135273,0.28754413,0.2717498,-0.8879788,0.04604615,0.78976715
10,0.21708591,0.6488909,0.6228373,0.16974777,0.2693711,0.3434036,0.35539034,0.18344095,0.03375911,0.4748619,0.5994731,0.08173798,-0.056297194,0.600581,0.18018304,0.06937123,-0.5534852,1.1796173,-0.18724945,-0.34378338,-0.35194546,-0.016366914,0.19467944,-0.060995758,0.5957327,0.13669077,0.12407237,-0.32928312,0.6172607,0.67152226,-0.61083645,0.3345954,-0.0032637704,0.2875858,-0.77633417,-0.17020896,0.67067516,0.2018463,-0.90511745,0.5135533,0.07197392,-0.89705104,0.12019059,0.79242885
11,0.20879449,0.6709981,0.61509675,0.17142822,0.24786156,0.3535261,0.35720754,0.16412766,0.031377178,0.47136423,0.6270779,0.0811403,-0.038458724,0.606973,0.20721635,0.07184742,-0.53564674,1.1860093,-0.21903834,-0.3412207,-0.35384187,0.050894797,0.16289055,-0.058433086,0.6042397,0.10657805,0.07974646,-0.337237,0.6257677,0.6414095,-0.60988826,0.3609504,0.017435377,0.29545718,-0.775386,-0.14385396,0.7207906,0.19818988,-0.898827,0.6316998,-0.13307828,-0.9027462,0.19883205,0.7976784
12,0.20093212,0.68464696,0.60318655,0.16839734,0.23290852,0.36675918,0.36581504,0.14500062,0.030054262,0.46578765,0.6540672,0.08244454,-0.01837261,0.613546,0.23116037,0.07362629,-0.5155606,1.1925824,-0.25092778,-0.33340678,-0.35456976,0.10478489,0.13100111,-0.050619155,0.6084637,0.07583922,0.030526906,-0.34369534,0.6299917,0.6106707,-0.60692185,0.3879746,0.04072304,0.3026741,-0.7724196,-0.11682978,0.75748146,0.19740716,-0.8918841,0.666138,-0.2928294,-0.9076756,0.2764651,0.810812
13,0.19371077,0.6958881,0.5909731,0.16528392,0.21960492,0.37945896,0.3703487,0.13262698,0.029568018,0.46436742,0.67366225,0.08450697,0.003701354,0.6202452,0.25231922,0.0748403,-0.49348664,1.1992815,-0.28273296,-0.32192796,-0.35280108,0.13892086,0.09919593,-0.039140344,0.60835254,0.044576004,-0.017113987,-0.3492059,0.62988055,0.57940745,-0.6017954,0.41565478,0.0650795,0.30999953,-0.7672931,-0.089149594,0.7894895,0.19620582,-0.86873776,0.60332215,-0.40009165,-0.9143443,0.3453723,0.8299393
14,0.18418862,0.70099956,0.57476294,0.16062212,0.21192168,0.3948161,0.37063542,0.12783173,0.030420875,0.4687425,0.68797964,0.08707875,0.02751477,0.626984,0.27073067,0.07489301,-0.46967322,1.2060204,-0.31381562,-0.30922794,-0.34164384,0.14220648,0.06811327,-0.026440322,0.6042098,0.012830976,-0.060488082,-0.35448086,0.6257378,0.54766244,-0.5945179,0.44399068,0.08875145,0.31726518,-0.7600156,-0.060813695,0.81491274,0.18762779,-0.7704299,0.3801581,-0.47652593,-0.9257649,0.39941838,0.84765494
15,0.16628577,0.6867729,0.5720333,0.15111682,0.21784075,0.39530808,0.37353528,0.13430372,0.03265865,0.4753479,0.6994105,0.09538636,0.05281061,0.6335837,0.286232,0.07254736,-0.4443774,1.21262,-0.34186515,-0.2981022,-0.29667047,0.114326045,0.04006374,-0.015314579,0.5964383,-0.019371616,-0.099279836,-0.35946944,0.6179663,0.51545984,-0.5852026,0.4728734,0.1108783,0.32274634,-0.7507003,-0.031930983,0.8318399,0.16377603,-0.40437594,0.07671179,-0.53913766,-0.93608814,0.44314727,0.8479738
16,0.1613008,0.66350824,0.5953343,0.13785839,0.23403147,0.36882362,0.37882835,0.16438109,0.035842083,0.48331323,0.67431813,0.1024603,0.07930223,0.6397947,0.2984111,0.067242615,-0.41788578,1.2188311,-0.36289173,-0.29000834,-0.20210756,0.07773415,0.019037157,-0.0072207153,0.58544236,-0.05198862,-0.13362516,-0.36388204,0.60697037,0.48284283,-0.57380956,0.50200874,0.13444477,0.32421595,-0.7393073,-0.0027956367,0.83737135,0.12832093,0.2039529,-0.08010394,-0.591653,-0.9427997,0.5128605,0.8215618
17,0.15877932,0.6174246,0.64190966,0.1295018,0.27670473,0.3169332,0.38143647,0.22482514,0.04115714,0.48906174,0.61639553,0.10587068,0.106629394,0.64534014,0.30624732,0.058802277,-0.3905586,1.2243764,-0.37555146,-0.28500926,-0.10994184,0.04445112,0.006377429,-0.002221644,0.5716396,-0.08495292,-0.16323365,-0.367464,0.5931676,0.44987854,-0.56011957,0.5308807,0.16094583,0.31909084,-0.7256173,0.026076317,0.82438993,0.08370311,0.4163882,-0.13849495,-0.6301478,-0.9455256,0.6011225,0.7592894
18,0.15234657,0.5549727,0.689672,0.12263459,0.34105673,0.2661584,0.38117555,0.30611265,0.044169612,0.49618983,0.5415408,0.1039706,0.1343279,0.6499382,0.30851844,0.047233168,-0.36286008,1.2289746,-0.3812576,-0.28264728,-0.040131085,0.017141515,0.0006712973,0.00014033914,0.55546117,-0.11818161,-0.18802351,-0.37007955,0.5769892,0.41664985,-0.54411167,0.55895257,0.1863253,0.30831945,-0.7096094,0.054148197,0.78832936,0.031314537,0.423253,-0.1619683,-0.6559825,-0.9448163,0.65615904,0.69001293
19,0.14122936,0.49076203,0.72941756,0.11618918,0.4096632,0.22708377,0.3780053,0.3974923,0.04349864,0.5058055,0.46127835,0.099574715,0.16190504,0.6533107,0.30535954,0.03259265,-0.33528298,1.232347,-0.38307658,-0.28174058,-0.010250004,0.0065409495,-0.0011476874,0.001047045,0.5372668,-0.151583,-0.2092277,-0.37164977,0.5587948,0.38324845,-0.5259847,0.58599573,0.20895383,0.296559,-0.6914824,0.08119136,0.7397071,-0.028322313,0.19848312,-0.06315189,-0.68210065,-0.9409014,0.6920984,0.6531944
20,0.12830986,0.4307957,0.75325847,0.10939687,0.48463878,0.20631029,0.37505093,0.4794203,0.04043123,0.5155522,0.3922698,0.08456556,0.18902448,0.6552006,0.29931095,0.015200803,-0.30816352,1.234237,-0.3836971,-0.28158608,-0.0052169417,-0.0006957607,-0.0017682016,0.0012015402,0.5173153,-0.18505338,-0.22790916,-0.37201458,0.53884333,0.3497781,-0.50600296,0.6121137,0.22855185,0.28702044,-0.6715007,0.10730934,0.7029131,-0.09243682,0.024705611,-0.056014728,-0.70988417,-0.932772,0.71836513,0.6460122
21,0.11526176,0.37858692,0.77175814,0.10328128,0.5497795,0.19098638,0.36588693,0.55405086,0.037255544,0.5308318,0.33068737,0.07163358,0.21562663,0.6552784,0.29371372,-0.00630219,-0.28156137,1.2343147,-0.383646,-0.2823295,0.0034595395,-0.012042695,-0.0017171204,0.0004581213,0.49575707,-0.21848482,-0.24534976,-0.37118343,0.51728505,0.31634665,-0.48441452,0.63751817,0.24553137,0.27989796,-0.64991224,0.1327138,0.6923052,-0.17702793,0.07372246,-0.11520875,-0.7441788,-0.92172426,0.74117506,0.64632654
22,0.101540655,0.327662,0.79486716,0.1013755,0.6132421,0.17015113,0.34007013,0.6308092,0.0349818,0.55855435,0.26765016,0.059095886,0.24186371,0.6530946,0.29042777,-0.03324524,-0.2553243,1.2321309,-0.38321313,-0.28303462,0.0054857065,-0.005731507,-0.0012842417,-0.00024700165,0.4726858,-0.25178507,-0.26184624,-0.3694125,0.4942138,0.2830464,-0.46142024,0.6622714,0.26047158,0.2726044,-0.62691796,0.15746701,0.70142496,-0.285186,0.028910521,0.03300514,-0.77833927,-0.9102497,0.7632307,0.62680924
23,0.09029064,0.2776953,0.80737036,0.10063949,0.6734406,0.15895943,0.31851274,0.6912776,0.033670217,0.5808478,0.2184318,0.048864145,0.26785988,0.6485521,0.2880558,-0.05908607,-0.22932813,1.2275884,-0.38282296,-0.28336856,0.003760094,-0.0026995689,-0.0008940697,-0.00058093667,0.44817945,-0.28490084,-0.27751613,-0.36722302,0.46970743,0.24993062,-0.43719563,0.6860572,0.2735081,0.26012874,-0.6026934,0.18125284,0.7023498,-0.34152147,-0.003541857,0.015990611,-0.8113143,-0.9016364,0.781544,0.556754
24,0.08144687,0.22853285,0.81648064,0.099125296,0.7306696,0.15087365,0.29820246,0.7362822,0.032645695,0.6026722,0.18227088,0.040797584,0.29367867,0.6418937,0.28628486,-0.0814304,-0.20350933,1.22093,-0.3824424,-0.28365645,0.0044623627,-0.0034488016,-0.0005135238,-0.0008688271,0.42230925,-0.31781536,-0.2924112,-0.364964,0.44383723,0.2170161,-0.41190866,0.7078573,0.28469583,0.2332708,-0.5774064,0.20305294,0.7024297,-0.37115845,0.016422926,-0.01424125,-0.842741,-0.8954673,0.79564744,0.3817421
25,0.072034575,0.1826771,0.8235366,0.09703484,0.7807691,0.14449558,0.2773637,0.77491885,0.031967893,0.6256014,0.15304655,0.036553778,0.31938028,0.6333884,0.2852176,-0.101039015,-0.17780772,1.2124248,-0.3823678,-0.28336865,-0.0009874864,0.0065207183,-0.0004388988,-0.0005810261,0.39514408,-0.35053638,-0.30654755,-0.3628686,0.41667205,0.18429509,-0.38569552,0.7264352,0.29453766,0.1929967,-0.55119324,0.22163081,0.70503986,-0.3996622,-0.043342583,0.0910732,-0.87239134,-0.8914563,0.81015754,0.18043624
26,0.06412656,0.1418193,0.82274985,0.095533855,0.8242231,0.14502262,0.24964936,0.79809994,0.03222752,0.6548168,0.13777351,0.033957615,0.34498405,0.6231952,0.28412086,-0.11936732,-0.15220395,1.2022314,-0.38278508,-0.28241813,-0.006461336,0.012581727,-0.0008561909,0.0003694892,0.3667607,-0.38306937,-0.31978226,-0.3607818,0.38828868,0.1517621,-0.35864478,0.7411678,0.30357698,0.14904487,-0.5241425,0.23636341,0.70207644,-0.43588045,-0.057207208,0.07691189,-0.89871585,-0.8863038,0.8267372,0.04297313
27,0.056062,0.11162625,0.82044685,0.09387089,0.85664797,0.14665714,0.2178732,0.8179491,0.032896034,0.68825597,0.12598892,0.031725768,0.37040552,0.61130106,0.2816305,-0.13855076,-0.12678248,1.1903374,-0.38331062,-0.28157994,-0.005527835,0.007678618,-0.0013817251,0.0012076795,0.33725682,-0.41539153,-0.33184063,-0.35831213,0.3587848,0.11943993,-0.3308177,0.75197184,0.31199586,0.10554472,-0.49631542,0.24716747,0.68539846,-0.49025258,-0.006818323,-0.017576773,-0.92004013,-0.87725747,0.8431308,-0.06238925
28,0.048073597,0.088199586,0.82146627,0.088702366,0.8812926,0.1444521,0.19035327,0.83934134,0.03408159,0.72094434,0.11258503,0.030507898,0.3954828,0.5975845,0.27713948,-0.15933397,-0.10170519,1.1766207,-0.38348624,-0.28130084,-0.00016309728,0.000811578,-0.0015573502,0.0014867783,0.30674893,-0.44742355,-0.3425444,-0.35471067,0.3282769,0.08740792,-0.302265,0.7589085,0.31988078,0.06283902,-0.4677627,0.25410414,0.65916634,-0.5542089,0.039827786,-0.049473852,-0.93663883,-0.8597654,0.85883945,-0.1631951
29,0.040253084,0.07064762,0.8249434,0.084263206,0.90090436,0.14077732,0.16262385,0.86222494,0.034279283,0.7531129,0.09752196,0.028448101,0.42003313,0.5819714,0.27060223,-0.1805498,-0.077154875,1.1610076,-0.38333443,-0.2815295,0.002611427,-0.0042162985,-0.0014055371,0.0012581348,0.27536792,-0.47894892,-0.3517448,-0.34806776,0.2968959,0.055882543,-0.2730365,0.76202947,0.32720143,0.020596106,-0.43853426,0.2572251,0.62747604,-0.6104935,0.027337503,-0.04824982,-0.9483656,-0.82034755,0.8729082,-0.26533163
