timestep,edge_mask_0,edge_mask_1,edge_mask_2,edge_mask_3,edge_mask_4,edge_mask_5,edge_mask_6,edge_mask_7,edge_mask_8,edge_mask_9,edge_mask_10,edge_mask_11,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7
0,0.20058797,0.7021409,0.18803361,0.39481294,0.22351506,0.793472,0.2932988,0.04952671,0.018494356,0.31188834,0.74988526,0.07434402,-0.037937306,-0.21991982,-0.08089356,0.034086045,0.33947238,-0.36345562,0.461823,0.27640346,-0.09306695,0.046380382,0.3316641,-0.10892615,-0.55272114,0.39305323,0.085408255,-0.018597787,-0.539453,0.23425908,0.5856362,-0.06234376,0.031684034,-0.07654476,1.1108302,0.0851012,-0.80893564,0.34086046,-0.93066955,0.46380383,0.8540826,-0.18597788,0.31684032,-0.7654476
1,0.24006939,0.7000696,0.22024135,0.36118352,0.23737033,0.7528559,0.38047966,0.08360297,0.026902733,0.25833678,0.67632765,0.06256002,-0.048894558,-0.21526477,-0.1421741,0.060540836,0.32851514,-0.3588006,0.44915783,0.28290474,-0.16455221,0.08516471,0.31899893,-0.10242486,-0.5412286,0.3905822,0.1488388,-0.031885296,-0.5279605,0.23178805,0.5897566,-0.072723806,0.052831613,-0.13472839,1.1149507,0.07472116,-0.8150392,0.34976298,-0.9475199,0.5037943,0.847826,-0.17936955,0.2906858,-0.7731982
2,0.27666685,0.69851893,0.25069466,0.31912854,0.24969633,0.71077484,0.4749218,0.1323172,0.038530473,0.2059496,0.59101593,0.05178474,-0.064492114,-0.20842293,-0.18887225,0.08376025,0.3129176,-0.35195875,0.4310737,0.29256248,-0.2191267,0.11837993,0.30091482,-0.09276712,-0.52500767,0.38715136,0.19592988,-0.041237675,-0.51173955,0.22835721,0.5949551,-0.08739807,0.06022488,-0.1772068,1.1201491,0.060046896,-0.82241684,0.3835463,-0.95712566,0.545064,0.8430082,-0.17323707,0.20601167,-0.76160526
3,0.3037728,0.6937734,0.2824108,0.27801368,0.2629612,0.66366446,0.5622795,0.1980619,0.053924773,0.15970685,0.49816528,0.043265406,-0.08364264,-0.1993531,-0.22473949,0.10928383,0.29376706,-0.3428889,0.4088929,0.30470484,-0.26011667,0.14318256,0.27873403,-0.08062476,-0.50526065,0.38319856,0.23115388,-0.04526131,-0.49199253,0.22440441,0.600036,-0.10514406,0.054569244,-0.20716324,1.1252301,0.042300902,-0.8308529,0.4646366,-0.9577166,0.5439761,0.84206504,-0.14333053,0.09400585,-0.74258125
4,0.319333,0.6919885,0.3124846,0.23949015,0.2723247,0.61362225,0.63891095,0.27735335,0.073893175,0.12159895,0.40331367,0.035686802,-0.10548224,-0.18779159,-0.2516236,0.13805005,0.27192745,-0.33132738,0.38365975,0.31845632,-0.29049438,0.15759988,0.25350088,-0.06687328,-0.48284584,0.37939444,0.25800297,-0.040770546,-0.46957773,0.22060029,0.6039559,-0.12504476,0.03804691,-0.22809689,1.1291499,0.0224002,-0.83068955,0.5608719,-0.95406854,0.5021297,0.8463756,-0.068245664,-0.028800314,-0.7272445
5,0.32141793,0.68550116,0.33913177,0.20503066,0.28501436,0.5640277,0.7026458,0.36420858,0.096840516,0.09232355,0.3143735,0.029484428,-0.12929174,-0.1734958,-0.27101323,0.16923809,0.24811795,-0.31703162,0.3561267,0.3330762,-0.3136368,0.16486506,0.22596781,-0.052253395,-0.45836848,0.37676072,0.27895427,-0.02351,-0.44510037,0.21796657,0.60597116,-0.14643759,0.014563873,-0.2424987,1.1311651,0.0010073781,-0.8229558,0.6570056,-0.95766,0.46665156,0.8545208,0.07067911,-0.13971308,-0.7142604
6,0.30740082,0.6675844,0.36273924,0.17857912,0.30738688,0.51344216,0.75284404,0.45919213,0.12381864,0.068576895,0.23340704,0.025028713,-0.15447982,-0.15632743,-0.28429452,0.20152013,0.22292988,-0.29986322,0.32682654,0.347952,-0.3315183,0.16549751,0.19666766,-0.037377596,-0.4322618,0.3765012,0.2956341,0.007429461,-0.41899368,0.21770705,0.6056809,-0.16876422,-0.012120265,-0.25086117,1.1308749,-0.021319255,-0.81034636,0.74591535,-0.96290636,0.41848746,0.864184,0.25061962,-0.23043169,-0.68987155
7,0.282608,0.6340688,0.3738325,0.16368985,0.34413496,0.46978664,0.7845715,0.5538166,0.15638082,0.05173856,0.1635754,0.021796219,-0.18056571,-0.13628219,-0.292618,0.23332715,0.19684398,-0.279818,0.2961914,0.36207336,-0.34482616,0.15260649,0.16603251,-0.023256242,-0.40484223,0.37949777,0.30917573,0.046227958,-0.3915741,0.22070362,0.6029922,-0.19141686,-0.038750995,-0.2521135,1.1281862,-0.043971896,-0.79397124,0.8218706,-0.96187395,0.28483358,0.87450147,0.40655863,-0.29660797,-0.6396762
8,0.25743532,0.5717092,0.376568,0.16580726,0.40867665,0.43147683,0.7915336,0.6311292,0.19195516,0.042659126,0.1114355,0.019614158,-0.20716517,-0.11349568,-0.29701522,0.2631116,0.17024453,-0.2570315,0.26460376,0.3738743,-0.3540474,0.120378934,0.13444488,-0.0114552975,-0.37636477,0.38592044,0.32003677,0.08393039,-0.36309665,0.22712629,0.5980235,-0.21373437,-0.063435756,-0.24590199,1.1232175,-0.06628941,-0.77551687,0.88116264,-0.95427734,0.059240736,0.8815497,0.4925942,-0.34372514,-0.5681689
9,0.22988221,0.49659577,0.35848013,0.1854698,0.48587087,0.41373453,0.77634287,0.6934249,0.22778538,0.03818732,0.07669297,0.017533364,-0.23405007,-0.08822007,-0.2995738,0.2897042,0.14335963,-0.23175588,0.23246364,0.3817526,-0.35864455,0.07111553,0.10230476,-0.003576994,-0.34703523,0.39530665,0.32880706,0.11447158,-0.33376712,0.2365125,0.5909988,-0.23514369,-0.08535961,-0.233871,1.1161928,-0.08769873,-0.7681243,0.9237051,-0.93109065,-0.19168669,0.8877946,0.5152377,-0.37782803,-0.49444538
