timestep,edge_mask_0,edge_mask_1,edge_mask_2,edge_mask_3,edge_mask_4,edge_mask_5,edge_mask_6,edge_mask_7,edge_mask_8,edge_mask_9,edge_mask_10,edge_mask_11,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7
0,0.182218,0.56972307,0.5905563,0.17042479,0.03877913,0.27848387,0.23857541,0.022683319,0.13095978,0.5909998,0.7950987,0.3914978,-0.24437177,-0.42530587,0.029493593,-0.0074517755,-0.5441674,-0.5865549,-0.58965296,0.25803605,0.034601808,0.009812932,-1.0377855,0.43632212,0.40518078,-0.536452,0.025280666,0.07482157,0.47901207,-1.0581639,-0.1147253,0.051602922,0.09222713,-0.03721227,-0.25285828,0.22910085,0.29493594,-0.07451776,0.34601808,0.098129325,0.25280666,0.74821573,0.9222713,-0.37212273
1,0.19655706,0.49301726,0.58138114,0.16521548,0.037718087,0.25461355,0.23188606,0.027222596,0.16400535,0.6028985,0.77622026,0.46926472,-0.24057148,-0.42607912,0.04859125,-0.009161541,-0.54036707,-0.5873282,-0.58457893,0.25934896,0.067266464,0.01697478,-1.0327115,0.43763503,0.4088052,-0.5261846,0.047766715,0.13371204,0.48263645,-1.0478966,-0.102238424,0.045991875,0.16200086,-0.07491127,-0.2403714,0.22348982,0.26471058,-0.035727102,0.41315106,0.09615081,0.28806216,0.77595854,0.9283052,-0.4700207
2,0.21120133,0.4149173,0.5675349,0.15968516,0.036217988,0.23026447,0.21707922,0.03218632,0.20220062,0.6232356,0.75661236,0.5488647,-0.23549493,-0.42671815,0.060313717,-0.0060696364,-0.53529054,-0.58796716,-0.5767401,0.26121533,0.09701368,0.02261892,-1.0248728,0.4395014,0.4143715,-0.51136214,0.06888838,0.18018463,0.48820275,-1.0330741,-0.08449554,0.037087183,0.21471427,-0.11095588,-0.22262853,0.21458513,0.23870282,0.008015204,0.4656384,0.098878354,0.33063343,0.79900587,0.9321364,-0.5477244
3,0.22823861,0.34597325,0.5418141,0.15300332,0.034883246,0.2090218,0.19607662,0.03786413,0.24916418,0.6509201,0.7338972,0.6191435,-0.22971022,-0.42681575,0.06625496,0.0014079157,-0.52950585,-0.5880648,-0.56643647,0.2635217,0.12321932,0.027130293,-1.014569,0.44180778,0.42185992,-0.4929162,0.09036325,0.21734051,0.49569118,-1.0146282,-0.062788054,0.025138877,0.25443417,-0.14366052,-0.20092104,0.20263681,0.21019672,0.059601434,0.5045905,0.10166102,0.38696957,0.8220205,0.93398476,-0.6044361
4,0.24981612,0.28309515,0.5115362,0.14766033,0.032936886,0.18553083,0.1730594,0.044335775,0.30293304,0.6792802,0.7058481,0.68396795,-0.22370617,-0.425987,0.0669398,0.01310863,-0.52350175,-0.58723605,-0.55401,0.26615202,0.1454983,0.030273914,-1.0021427,0.4444381,0.43137735,-0.4715618,0.11344248,0.24723688,0.5052086,-0.99327374,-0.038098738,0.010476102,0.28427154,-0.17254934,-0.17623173,0.18797404,0.17248586,0.12052693,0.5308382,0.09926194,0.45670065,0.84231466,0.934459,-0.6480394
5,0.27481148,0.22932364,0.46893817,0.14865743,0.031080116,0.16519281,0.15343574,0.051081482,0.365869,0.6979068,0.674107,0.7395962,-0.21794407,-0.42388752,0.06256503,0.028436959,-0.51773965,-0.58513653,-0.53981507,0.2689645,0.16383326,0.03173731,-0.9879477,0.44725057,0.4431146,-0.44786507,0.1388999,0.27132675,0.5169459,-0.969577,-0.011187781,-0.0064922366,0.30638015,-0.196531,-0.14932077,0.1710057,0.12360181,0.18605486,0.54709506,0.090318695,0.53818035,0.85899067,0.931765,-0.6711904
6,0.3090652,0.18232144,0.42120415,0.15515985,0.030386034,0.14529668,0.13515675,0.05866224,0.4334992,0.70968336,0.63227254,0.78729254,-0.21283984,-0.42026833,0.05378799,0.046101682,-0.51263547,-0.58151734,-0.524168,0.2718236,0.17886777,0.031783447,-0.97230065,0.4501097,0.45726615,-0.42228848,0.16640931,0.2906132,0.5310974,-0.9440004,0.017299006,-0.025292233,0.3215897,-0.21506777,-0.120833986,0.1522057,0.06864225,0.24773958,0.5599284,0.079804614,0.62234366,0.8711817,0.9180462,-0.6766955
7,0.348547,0.14696763,0.37380153,0.16577192,0.030639507,0.12529047,0.11723963,0.06582921,0.500908,0.71698844,0.58562374,0.8223929,-0.20875445,-0.41499257,0.041195743,0.064878255,-0.50855005,-0.5762416,-0.5073127,0.27466175,0.19148879,0.031410478,-0.95544535,0.45294783,0.47392696,-0.39521274,0.19447558,0.30595544,0.5477582,-0.9169247,0.046608128,-0.045549102,0.32769054,-0.23008065,-0.09152486,0.13194883,0.008547455,0.30301988,0.5733794,0.07572893,0.6966857,0.8799553,0.86498284,-0.68779784
8,0.3910233,0.12812908,0.33195275,0.18824679,0.032774042,0.107595444,0.10410394,0.07174962,0.5604518,0.70764923,0.53722703,0.83909684,-0.20596433,-0.4080299,0.025904154,0.083605036,-0.50575995,-0.56927896,-0.48941606,0.27753752,0.20253325,0.032224476,-0.9375487,0.4558236,0.49293143,-0.366969,0.21950343,0.31775132,0.5667627,-0.88868093,0.07507641,-0.06734853,0.31062612,-0.24828357,-0.06305658,0.110149406,-0.049926527,0.34946334,0.58916694,0.08666619,0.7364674,0.88284713,0.64858246,-0.75723064
9,0.43328255,0.12030142,0.32872587,0.21445346,0.03792972,0.09812558,0.09038325,0.076185465,0.57314855,0.6951633,0.49053198,0.84176886,-0.2046783,-0.399394,0.008481536,0.10212964,-0.5044739,-0.5606431,-0.47058725,0.2807058,0.21254654,0.036692467,-0.9187199,0.4589919,0.5135951,-0.3379049,0.23464188,0.32552612,0.58742636,-0.8596169,0.099570274,-0.091011405,0.252918,-0.27023953,-0.038562715,0.08648653,-0.109465815,0.39425847,0.6064662,0.12524112,0.70014286,0.87212586,0.19948417,-0.8402685
10,0.46816444,0.11804947,0.37218815,0.22942136,0.046028405,0.09987452,0.07333722,0.07865127,0.5279373,0.6972414,0.45318428,0.8359221,-0.20517026,-0.38902733,-0.012440186,0.12171329,-0.50496584,-0.5502764,-0.45092025,0.28470215,0.22150983,0.04825927,-0.89905286,0.46298823,0.5346402,-0.30836335,0.23343015,0.3295965,0.60847145,-0.83007526,0.11809566,-0.11643222,0.1822973,-0.2885604,-0.02003733,0.06106572,-0.18801337,0.45116046,0.6209992,0.20739916,0.5744878,0.8545191,-0.07391229,-0.8588073
11,0.4989909,0.121066235,0.42966387,0.24130596,0.057860963,0.102114014,0.059292983,0.08081922,0.46822214,0.6994011,0.4201899,0.82107276,-0.20770536,-0.3768669,-0.036031716,0.14181687,-0.50750095,-0.538116,-0.43050748,0.29026142,0.22945836,0.068524666,-0.8786401,0.4685475,0.5550186,-0.27850142,0.22292471,0.3329014,0.62884986,-0.80021334,0.13077869,-0.14235102,0.12023498,-0.28769958,-0.007354304,0.035146922,-0.26701576,0.50531894,0.63325995,0.32330215,0.47852108,0.8570409,-0.16488011,-0.7127933
12,0.5261467,0.124222964,0.4795875,0.25513777,0.072319716,0.10560709,0.0487715,0.083418295,0.41480538,0.6960907,0.39043498,0.8034573,-0.21222267,-0.36304888,-0.05727274,0.15939239,-0.51201826,-0.52429795,-0.40945336,0.29794654,0.23617257,0.093823664,-0.857586,0.47623262,0.57436216,-0.2483191,0.21093068,0.33658826,0.6481934,-0.77003103,0.13869679,-0.16496584,0.071851276,-0.23306361,0.00056380033,0.0125321,-0.30248958,0.5302972,0.64078796,0.42430153,0.43737137,0.86912197,-0.18324947,-0.17288908
13,0.54450047,0.122922935,0.5112033,0.2758355,0.08701122,0.11776099,0.041616857,0.084471166,0.37103572,0.6825476,0.3710284,0.7900659,-0.21788734,-0.34815943,-0.06577509,0.16846153,-0.5176829,-0.5094085,-0.387879,0.30790466,0.24148673,0.119056396,-0.83601165,0.48619074,0.5927421,-0.21780628,0.20086762,0.34025285,0.66657335,-0.7395182,0.14324701,-0.18082012,0.039911073,-0.14770636,0.005114019,-0.003322184,-0.22820528,0.4891725,0.6435728,0.4868864,0.42669657,0.8781166,-0.13977376,0.27091348
14,0.5531618,0.119215705,0.52967,0.29715136,0.10089819,0.1369636,0.036964998,0.08510347,0.33336642,0.66588366,0.36173478,0.7798861,-0.22333376,-0.3331487,-0.05788611,0.16594806,-0.52312934,-0.49439773,-0.36587757,0.31994936,0.24594739,0.14121667,-0.8140102,0.49823543,0.6103011,-0.18698649,0.19221601,0.34353682,0.68413234,-0.70869845,0.145692,-0.18935609,0.020794524,-0.06841286,0.0075590163,-0.01185815,-0.085548,0.3960191,0.64832354,0.51924384,0.4156527,0.88347155,-0.09138783,0.4236691
15,0.54159415,0.11655383,0.5402629,0.3041079,0.11475517,0.1562735,0.03404987,0.08603298,0.30346364,0.6618422,0.3723728,0.768691,-0.22743335,-0.31890726,-0.03938335,0.15438294,-0.52722895,-0.4801563,-0.3435455,0.3336586,0.24922763,0.15787904,-0.79167813,0.51194465,0.6269441,-0.15592243,0.1812767,0.34596598,0.7007754,-0.67763436,0.14687069,-0.19206063,0.009247327,-0.010869453,0.008737698,-0.014562696,0.04031237,0.29921883,0.64767075,0.51966566,0.37114698,0.8831332,-0.06348563,0.40440196
16,0.5245066,0.11768448,0.55007267,0.2926822,0.12959173,0.17149445,0.032095656,0.088349275,0.27843288,0.67522216,0.38714412,0.75272375,-0.22968599,-0.30593213,-0.017852172,0.13906097,-0.5294816,-0.46718118,-0.32105502,0.34841213,0.25022784,0.16695249,-0.7691877,0.52669823,0.64216983,-0.12474029,0.16312219,0.34671944,0.7160011,-0.64645225,0.14732233,-0.19124855,0.002903772,0.018969366,0.0091893375,-0.013750613,0.11685347,0.23273778,0.6330713,0.48543197,0.27164698,0.87245,-0.04031723,0.27121457
17,0.49987242,0.120065324,0.5603416,0.2726424,0.14827892,0.1796491,0.031065587,0.09448447,0.2600093,0.69629204,0.4056431,0.7316557,-0.23011835,-0.29429042,0.0017205272,0.12449783,-0.52991396,-0.45553946,-0.29865462,0.36345637,0.2482266,0.16726105,-0.74678725,0.54174244,0.65522015,-0.09360586,0.13594425,0.34554735,0.7290514,-0.6153178,0.14740041,-0.18918163,-0.00015077618,0.024964038,0.00926742,-0.011683688,0.15109657,0.2020211,0.6055572,0.420467,0.13602588,0.85507846,-0.023286052,0.10737011
18,0.48069778,0.123006925,0.5724548,0.2530493,0.17141375,0.1808843,0.030520605,0.10324521,0.24666087,0.71643007,0.416057,0.7055793,-0.22906213,-0.2837416,0.016743587,0.11356478,-0.5288577,-0.44499063,-0.27653143,0.3781316,0.24460657,0.16095689,-0.7246641,0.5564177,0.6655252,-0.06261725,0.1037778,0.34370315,0.73935646,-0.5843292,0.14728239,-0.18728887,-0.0018916237,0.01906408,0.009149402,-0.009790927,0.15453193,0.20191422,0.5843665,0.35511142,0.01819602,0.84542704,-0.017785417,0.0034105235
19,0.46600774,0.12564749,0.58425605,0.23623882,0.19883305,0.17852284,0.029536627,0.11428002,0.23722109,0.73422456,0.41971228,0.6755195,-0.22698526,-0.27388078,0.026242694,0.10756452,-0.52678084,-0.43512982,-0.25470048,0.39207026,0.24154562,0.15183242,-0.7028331,0.57035637,0.6729261,-0.031754967,0.071460165,0.34251982,0.7467574,-0.5534669,0.14702725,-0.18606532,-0.0033064631,0.0108604785,0.008894265,-0.008567378,0.13685003,0.22390927,0.5809069,0.31114757,-0.06373186,0.8474247,-0.018877454,-0.034375794
20,0.45423314,0.12594292,0.59748065,0.22245282,0.22966872,0.17683142,0.028839426,0.1273162,0.22568794,0.7487078,0.41845062,0.6443883,-0.22437122,-0.2642608,0.030446004,0.10655097,-0.5241668,-0.42550984,-0.23302363,0.40519008,0.24050808,0.14274785,-0.6811563,0.5834762,0.677569,-0.00093171373,0.041650746,0.342461,0.75140023,-0.5226437,0.1466595,-0.18542337,-0.0044763004,0.0052692597,0.008526504,-0.007925436,0.107639834,0.25877586,0.5934888,0.28873548,-0.119443774,0.8557117,-0.019964531,-0.028760996
21,0.44659218,0.124011114,0.6079565,0.211543,0.26246932,0.17689951,0.028390156,0.14310701,0.21514396,0.76006687,0.41030085,0.6135196,-0.22164364,-0.25446984,0.030236635,0.10990707,-0.52143925,-0.41571888,-0.21128486,0.41758305,0.24205883,0.13517593,-0.6594175,0.5958691,0.6797385,0.029948693,0.015334563,0.34344295,0.7535698,-0.49176326,0.14621039,-0.1851046,-0.005247044,0.0026783496,0.008077398,-0.0076066554,0.07402138,0.29993832,0.616778,0.2811503,-0.15903498,0.86597216,-0.018898189,-0.012735956
22,0.43300003,0.120340124,0.6145583,0.2029487,0.30237293,0.17849636,0.028159862,0.16276923,0.20694532,0.76889145,0.40423077,0.5772869,-0.21914831,-0.24414887,0.026470447,0.117062725,-0.5189439,-0.4053979,-0.18927537,0.42940038,0.24579532,0.12936777,-0.637408,0.60768646,0.67975795,0.060961712,-0.0073434347,0.34516215,0.7535892,-0.46075022,0.14571139,-0.18489881,-0.005693066,0.002090423,0.0075784028,-0.0074008703,0.037929695,0.34632427,0.6425119,0.2798583,-0.18844359,0.8757989,-0.01757782,0.0008166021
23,0.4181537,0.115243,0.61822593,0.19609202,0.34736302,0.18102813,0.02816978,0.18546908,0.20074591,0.7757382,0.3963773,0.537394,-0.21716917,-0.23297319,0.019750362,0.12772977,-0.5169648,-0.39422223,-0.16683175,0.44078293,0.251163,0.12502521,-0.61496437,0.619069,0.6779406,0.09215161,-0.026617818,0.34725055,0.75177187,-0.42956033,0.14518106,-0.1846769,-0.0059923944,0.0026530921,0.0070480704,-0.007178962,-0.0010247376,0.39932725,0.6681652,0.27999392,-0.21110243,0.88378924,-0.01722596,0.0108527485
24,0.40209165,0.10878701,0.6237697,0.19165209,0.39373454,0.18450053,0.028247906,0.21139129,0.1917298,0.7801,0.38651708,0.4974784,-0.21593834,-0.22064173,0.010638588,0.14165975,-0.51573396,-0.38189077,-0.14386734,0.45180297,0.2571586,0.121154524,-0.592,0.63008904,0.6745669,0.12352105,-0.042919647,0.34919876,0.7483982,-0.3981909,0.14464012,-0.18435135,-0.0060193017,0.0040992857,0.0065071285,-0.0068534166,-0.04174181,0.45862427,0.68786347,0.27385613,-0.22956285,0.8876089,-0.015250051,0.021094665
25,0.3855638,0.10225418,0.6268593,0.19024178,0.4391126,0.18978418,0.028540248,0.24018422,0.18335651,0.78121793,0.374252,0.4586332,-0.21563049,-0.20688571,-0.000188404,0.15843701,-0.5154261,-0.36813474,-0.12043202,0.46237645,0.26200953,0.115647495,-0.56856465,0.64066255,0.669862,0.15500206,-0.056956954,0.35008383,0.74369323,-0.3667099,0.14409606,-0.18388502,-0.0060577826,0.0057228175,0.005963072,-0.0063870847,-0.08167346,0.5219219,0.69140583,0.24781613,-0.24767219,0.88184774,-0.015433054,0.02648353
26,0.36988398,0.09705008,0.62450224,0.19381931,0.4890509,0.19614193,0.02925368,0.27077612,0.17935583,0.776927,0.35933992,0.413899,-0.2163334,-0.19150658,-0.0116210645,0.17710054,-0.516129,-0.3527556,-0.096781746,0.47217336,0.26316652,0.10545826,-0.54491436,0.6504594,0.6639709,0.18640633,-0.069706365,0.34836257,0.73780215,-0.33530563,0.14353703,-0.183283,-0.0062882816,0.007172312,0.00540404,-0.005785063,-0.11479762,0.5827277,0.6665937,0.18722649,-0.26988652,0.8579973,-0.01744944,0.028801985
27,0.35603914,0.09190516,0.6185512,0.20315477,0.5381522,0.20646688,0.030378368,0.30146834,0.17498195,0.76646686,0.34249255,0.3699426,-0.21801417,-0.17442282,-0.022202153,0.1961791,-0.51780975,-0.33567184,-0.0733153,0.4807344,0.2595242,0.08995485,-0.52144796,0.6590205,0.65700537,0.21744443,-0.08123862,0.34312057,0.73083663,-0.30426753,0.14296132,-0.18254381,-0.0064510577,0.008733508,0.004828334,-0.005045876,-0.13486357,0.63353705,0.6214932,0.10861164,-0.28958854,0.8184866,-0.01734847,0.033542737
28,0.33986524,0.08628023,0.60900384,0.21759398,0.5854789,0.21892674,0.031629432,0.33297116,0.17206939,0.7507766,0.3271636,0.32824087,-0.22048517,-0.1557148,-0.030082162,0.21371078,-0.5202808,-0.31696385,-0.050328817,0.4878088,0.25334597,0.07292909,-0.49846146,0.6660949,0.6491374,0.24790516,-0.090514064,0.33611915,0.72296864,-0.27380678,0.14239179,-0.18167394,-0.0062667024,0.010131105,0.0042587966,-0.0041760057,-0.13430543,0.6657642,0.587028,0.054629575,-0.2958511,0.78778684,-0.014284101,0.035809744
29,0.32820386,0.08075134,0.5975405,0.2351442,0.6290795,0.23262686,0.032880604,0.3585818,0.16983265,0.7319752,0.31321433,0.29016912,-0.22337593,-0.13565166,-0.033138335,0.22753032,-0.52317154,-0.2969007,-0.027835384,0.4935259,0.24821758,0.058820624,-0.475968,0.67181194,0.64062566,0.27779624,-0.096604966,0.33012524,0.7144569,-0.2439157,0.14185692,-0.18070678,-0.005780999,0.011053721,0.0037239343,-0.0032088459,-0.10576719,0.6724722,0.5820811,0.04123804,-0.28719404,0.78035843,-0.010809731,0.03455391
30,0.31816348,0.07587194,0.5872127,0.24537335,0.6739903,0.24588595,0.03444602,0.38382068,0.16690138,0.72018063,0.29801583,0.2501378,-0.22621629,-0.114592515,-0.030770164,0.23722062,-0.5260119,-0.27584156,-0.0056466227,0.49829978,0.2457039,0.050154444,-0.45377925,0.67658585,0.63178897,0.30728757,-0.098975666,0.32645848,0.7056202,-0.21442437,0.14136694,-0.17970471,-0.005275664,0.0111744385,0.0032339543,-0.0022067726,-0.059164166,0.6657286,0.59540737,0.060389683,-0.26521933,0.7886454,-0.009399152,0.028841456
31,0.3091108,0.072268136,0.58050823,0.25328088,0.7160864,0.2572113,0.03613043,0.4136836,0.1622805,0.7105887,0.27720568,0.21164547,-0.22853996,-0.09282882,-0.023342807,0.24411796,-0.5283356,-0.25407785,0.016467674,0.50270236,0.24571966,0.048299033,-0.43166497,0.68098843,0.6229687,0.336594,-0.09751653,0.32521105,0.69679993,-0.18511796,0.14090933,-0.17874405,-0.004989159,0.010423978,0.0027763397,-0.0012461096,-0.0026518118,0.662025,0.61441755,0.10683194,-0.23284794,0.8036713,-0.010324096,0.02043148
